anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	time	season	episode
0	0	0	0	0	0	0	0	0	0	0	1	1
0	0	0	0	1	0	0	0	0	0	1	1	1
0	0	0	0	0	0	0	0	0	0	2	1	1
1	3	2	0	3	2	6	0	4	0	3	1	1
0	1	0	0	1	0	2	0	1	0	4	1	1
0	0	0	0	0	0	1	0	0	0	5	1	1
0	0	0	0	0	0	0	0	0	0	6	1	1
0	0	0	0	0	0	0	0	0	0	7	1	1
0	0	0	0	0	0	0	0	0	0	8	1	1
0	0	1	0	0	0	1	0	0	0	9	1	1
0	0	2	0	2	0	3	0	2	1	10	1	1
0	1	1	0	4	1	3	0	1	0	11	1	1
2	2	2	1	0	2	3	0	1	0	12	1	1
1	2	3	1	1	1	2	0	2	0	13	1	1
2	0	3	0	2	2	5	0	4	1	14	1	1
0	1	0	0	0	0	1	0	0	0	15	1	1
0	1	2	0	0	0	2	0	2	0	16	1	1
0	2	0	0	1	0	4	0	1	0	17	1	1
1	1	1	0	0	1	0	0	0	0	18	1	1
2	1	4	0	0	0	6	0	8	1	19	1	1
0	2	0	0	1	0	4	0	1	0	20	1	1
0	3	4	0	1	0	6	0	1	0	21	1	1
0	2	4	0	3	0	8	0	3	0	22	1	1
0	1	2	0	1	0	1	0	3	0	23	1	1
0	0	1	0	0	1	3	0	0	0	24	1	1
0	0	1	0	0	0	2	0	0	0	25	1	1
0	0	0	0	0	0	1	0	0	0	26	1	1
1	1	1	0	0	0	9	1	2	1	27	1	1
2	1	3	0	2	0	7	0	3	1	28	1	1
0	2	5	0	0	0	11	0	5	0	29	1	1
1	0	6	0	2	0	11	0	0	0	30	1	1
0	2	8	1	3	2	6	1	4	0	31	1	1
0	1	1	0	1	2	3	1	2	0	32	1	1
0	0	0	0	0	0	3	0	1	0	33	1	1
0	3	2	0	1	0	3	1	0	0	34	1	1
0	0	0	0	1	0	0	0	1	0	35	1	1
2	2	6	0	1	1	6	0	8	0	36	1	1
0	0	2	0	0	0	5	0	2	0	37	1	1
1	0	4	4	3	0	7	0	10	1	38	1	1
0	0	4	2	1	1	11	0	2	0	39	1	1
0	3	1	0	1	0	1	0	1	0	40	1	1
1	0	2	1	1	1	8	0	1	0	41	1	1
0	0	6	1	2	0	4	0	1	0	42	1	1
3	1	2	0	1	3	3	2	0	1	43	1	1
1	1	7	0	1	0	9	1	4	1	44	1	1
0	1	4	1	2	0	12	1	4	1	45	1	1
0	0	3	2	4	0	7	3	2	1	46	1	1
0	0	6	0	2	0	3	0	1	0	47	1	1
0	0	3	0	0	1	7	1	1	1	48	1	1
1	3	6	0	1	1	1	0	1	0	49	1	1
1	1	0	0	2	1	5	0	0	0	50	1	1
0	0	0	0	0	0	0	0	1	0	51	1	1
0	2	6	0	1	0	5	0	1	0	52	1	1
0	0	1	0	0	0	4	0	1	1	53	1	1
0	0	0	0	0	0	2	0	1	0	54	1	1
0	0	1	0	0	0	1	0	0	0	55	1	1
0	0	0	0	0	0	1	0	1	0	56	1	1
1	1	3	0	1	0	8	0	2	1	57	1	1
0	0	0	0	0	0	0	0	0	0	58	1	1
1	0	1	0	1	1	0	0	1	0	59	1	1
0	0	0	0	0	0	1	0	1	0	60	1	1
1	1	8	0	2	1	8	0	1	0	0	1	2
1	1	7	2	0	0	6	0	4	1	1	1	2
0	0	0	0	1	0	0	0	0	0	2	1	2
0	0	1	0	0	0	6	0	8	5	3	1	2
0	0	0	0	0	0	2	0	0	0	4	1	2
0	0	2	0	0	0	8	0	3	1	5	1	2
0	2	9	0	4	0	8	0	1	0	6	1	2
0	1	1	0	0	0	6	0	4	0	7	1	2
0	3	6	0	3	1	5	1	1	0	8	1	2
0	1	5	1	3	0	8	0	5	0	9	1	2
0	1	0	1	2	1	8	0	3	1	10	1	2
0	2	1	0	2	0	6	0	2	0	11	1	2
0	0	0	0	0	0	1	0	0	0	12	1	2
1	3	3	0	3	0	12	0	0	0	13	1	2
0	1	0	0	0	0	5	0	3	0	14	1	2
1	0	4	0	2	1	11	0	3	0	15	1	2
0	0	0	0	0	0	5	0	0	0	16	1	2
0	1	3	0	0	0	2	0	0	0	17	1	2
0	0	1	0	0	0	0	0	0	0	18	1	2
1	1	2	0	2	1	6	0	3	0	19	1	2
1	2	1	0	0	1	1	0	0	0	20	1	2
0	1	3	0	0	0	3	0	0	0	21	1	2
0	2	4	0	1	0	5	0	2	0	22	1	2
0	1	1	0	0	0	3	0	0	0	23	1	2
3	4	3	1	2	2	14	0	5	2	24	1	2
1	2	3	1	4	3	12	0	4	0	25	1	2
1	1	5	1	3	1	11	0	6	0	26	1	2
0	0	2	1	0	0	1	0	4	0	27	1	2
1	3	9	0	0	1	5	0	0	0	28	1	2
2	2	5	0	1	2	7	0	3	0	29	1	2
0	0	1	0	2	0	3	0	0	0	30	1	2
1	3	4	1	5	1	8	0	2	2	31	1	2
0	1	1	0	0	1	5	1	0	0	32	1	2
0	1	0	0	1	1	6	0	2	0	33	1	2
0	0	5	0	3	0	6	0	3	0	34	1	2
0	0	0	0	0	0	0	0	0	0	35	1	2
0	0	1	0	0	0	1	0	0	0	36	1	2
3	4	3	1	4	3	9	0	1	0	37	1	2
0	0	6	0	3	0	6	0	1	1	38	1	2
0	0	0	0	0	0	3	0	1	0	39	1	2
0	0	7	0	5	0	12	0	4	0	40	1	2
0	1	2	0	0	0	6	0	1	0	41	1	2
0	0	0	0	0	0	2	0	0	0	42	1	2
0	0	2	0	1	0	3	0	0	0	43	1	2
2	0	5	0	3	3	7	1	3	0	44	1	2
0	0	1	0	2	0	3	0	2	0	45	1	2
0	1	1	0	4	0	4	0	3	0	46	1	2
0	0	0	0	0	0	3	0	0	0	47	1	2
0	0	0	0	0	0	1	0	0	1	48	1	2
0	0	5	0	3	1	4	1	2	0	49	1	2
1	0	3	1	4	0	13	1	1	1	50	1	2
0	0	2	0	2	0	10	0	0	0	51	1	2
0	1	3	1	6	0	10	0	1	0	52	1	2
0	0	0	1	2	0	4	0	1	0	53	1	2
0	1	0	0	1	0	0	0	0	0	54	1	2
0	0	0	0	0	0	0	0	0	0	55	1	2
0	1	4	1	1	0	12	0	7	0	0	1	3
0	1	0	0	4	0	10	0	1	0	1	1	3
0	0	2	0	0	0	2	0	1	0	2	1	3
0	1	0	0	1	0	5	0	0	0	3	1	3
0	5	5	1	2	0	14	0	3	1	4	1	3
3	1	7	2	2	3	4	0	1	0	5	1	3
0	0	7	0	4	0	11	0	3	0	6	1	3
0	0	16	0	6	0	10	1	6	0	7	1	3
0	1	8	1	1	0	11	1	3	0	8	1	3
2	1	5	0	2	1	9	0	3	0	9	1	3
2	1	9	0	7	0	5	0	8	2	10	1	3
1	4	6	2	1	1	8	0	3	0	11	1	3
2	2	4	1	1	3	10	1	4	0	12	1	3
1	1	3	0	0	1	2	0	1	0	13	1	3
0	1	1	0	2	0	5	0	4	0	14	1	3
2	0	4	0	2	0	8	0	3	0	15	1	3
2	1	2	0	0	1	8	0	1	1	16	1	3
2	2	0	0	3	1	6	3	3	0	17	1	3
0	1	5	0	2	2	9	0	5	0	18	1	3
0	1	3	0	0	0	4	0	4	0	19	1	3
0	1	2	0	5	1	3	1	2	0	20	1	3
0	0	3	0	3	2	7	1	3	0	21	1	3
0	0	2	0	2	1	4	1	2	0	22	1	3
1	1	3	0	1	1	4	0	2	0	23	1	3
0	1	5	0	4	0	4	0	1	0	24	1	3
0	1	3	0	3	0	10	0	1	0	25	1	3
1	0	4	0	2	0	9	0	1	0	26	1	3
1	2	7	0	1	0	10	1	1	0	27	1	3
0	1	7	1	3	0	12	0	2	0	28	1	3
5	3	3	0	4	3	10	1	3	1	29	1	3
2	2	2	0	4	0	4	0	4	2	30	1	3
0	0	0	0	0	0	0	0	0	0	31	1	3
0	1	1	0	1	1	8	1	3	0	32	1	3
0	2	7	0	2	0	5	0	3	0	33	1	3
0	1	1	0	0	2	9	1	1	0	34	1	3
3	3	3	0	1	1	7	0	3	1	35	1	3
1	0	2	1	0	1	3	0	1	0	36	1	3
0	1	2	0	3	0	7	0	5	0	37	1	3
1	1	3	0	2	1	7	0	0	0	38	1	3
0	1	2	0	0	1	12	0	1	0	39	1	3
0	0	0	0	0	0	0	0	0	0	40	1	3
0	0	0	0	0	0	0	0	0	0	41	1	3
0	1	3	0	1	0	11	0	1	0	42	1	3
0	0	4	0	1	0	6	0	4	0	43	1	3
0	3	5	0	2	0	16	0	1	0	44	1	3
1	0	5	0	0	1	12	0	3	0	45	1	3
1	1	3	0	0	1	4	0	1	0	46	1	3
0	2	2	0	2	0	13	0	1	0	47	1	3
0	1	5	0	3	0	5	0	2	0	48	1	3
0	0	0	0	1	0	4	0	2	0	49	1	3
0	0	3	0	1	0	5	0	5	0	50	1	3
1	1	5	0	5	1	5	0	4	0	51	1	3
0	1	2	0	0	0	2	0	0	0	52	1	3
0	1	4	1	1	0	4	0	0	0	53	1	3
0	0	2	0	2	0	7	0	1	0	54	1	3
0	2	4	0	4	0	5	0	2	0	55	1	3
1	1	2	1	2	1	3	0	0	0	56	1	3
0	3	0	0	0	0	1	0	0	0	57	1	3
0	0	0	0	0	0	0	0	0	0	58	1	3
0	1	5	1	5	0	11	2	4	0	0	1	4
0	1	2	0	0	0	4	0	2	1	1	1	4
0	0	2	0	0	0	2	0	0	0	2	1	4
1	0	2	0	0	1	3	0	1	0	3	1	4
2	4	4	0	4	1	12	1	3	1	4	1	4
1	2	4	0	2	4	12	0	5	0	5	1	4
0	0	8	1	3	0	9	0	2	1	6	1	4
0	2	3	0	1	0	5	0	3	0	7	1	4
3	2	0	0	0	1	7	2	2	2	8	1	4
0	1	4	0	2	0	5	0	4	1	9	1	4
3	4	1	0	1	2	4	0	0	0	10	1	4
3	4	1	0	0	3	1	0	0	1	11	1	4
0	0	3	0	0	0	4	0	2	0	12	1	4
1	0	3	0	3	1	3	1	1	0	13	1	4
