No. overall,No. in season,Title,Directed by,Written by,Original air date,U.S. viewers (millions),,
1,1,"""Winter Is Coming""",Tim Van Patten,David Benioff & D. B. Weiss,"April 17, 2011",2.22,,
2,2,"""The Kingsroad""",Tim Van Patten,David Benioff & D. B. Weiss,"April 24, 2011",2.2,,
3,3,"""Lord Snow""",Brian Kirk,David Benioff & D. B. Weiss,"May 1, 2011",2.44,,
4,4,"""Cripples, Bastards, and Broken Things""",Brian Kirk,Bryan Cogman,"May 8, 2011",2.45,,
5,5,"""The Wolf and the Lion""",Brian Kirk,David Benioff & D. B. Weiss,"May 15, 2011",2.58,,
6,6,"""A Golden Crown""",Daniel Minahan,David Benioff & D. B. Weiss,"May 22, 2011",2.44,,
7,7,"""You Win or You Die""",Daniel Minahan,David Benioff & D. B. Weiss,"May 29, 2011",2.4,,
8,8,"""The Pointy End""",Daniel Minahan,George R. R. Martin,"June 5, 2011",2.72,,
9,9,"""Baelor""",Alan Taylor,David Benioff & D. B. Weiss,"June 12, 2011",2.66,,
10,10,"""Fire and Blood""",Alan Taylor,David Benioff & D. B. Weiss,"June 19, 2011",3.04,,
11,1,"""The North Remembers""",Alan Taylor,David Benioff & D. B. Weiss,"April 1, 2012",3.86,,
12,2,"""The Night Lands""",Alan Taylor,David Benioff & D. B. Weiss,"April 8, 2012",3.76,,
13,3,"""What Is Dead May Never Die""",Alik Sakharov,Bryan Cogman,"April 15, 2012",3.77,,
14,4,"""Garden of Bones""",David Petrarca,Vanessa Taylor,"April 22, 2012",3.65,,
15,5,"""The Ghost of Harrenhal""",David Petrarca,David Benioff & D. B. Weiss,"April 29, 2012",3.9,,
16,6,"""The Old Gods and the New""",David Nutter,Vanessa Taylor,"May 6, 2012",3.88,,
17,7,"""A Man Without Honor""",David Nutter,David Benioff & D. B. Weiss,"May 13, 2012",3.69,,
18,8,"""The Prince of Winterfell""",Alan Taylor,David Benioff & D. B. Weiss,"May 20, 2012",3.86,,
19,9,"""Blackwater""",Neil Marshall,George R. R. Martin,"May 27, 2012",3.38,,
20,10,"""Valar Morghulis""",Alan Taylor,David Benioff & D. B. Weiss,"June 3, 2012",4.2,,
21,1,"""Valar Dohaeris""",Daniel Minahan,David Benioff & D. B. Weiss,"March 31, 2013",4.37,,
22,2,"""Dark Wings, Dark Words""",Daniel Minahan,Vanessa Taylor,"April 7, 2013",4.27,,
23,3,"""Walk of Punishment""",David Benioff,David Benioff & D. B. Weiss,"April 14, 2013",4.72,,
24,4,"""And Now His Watch Is Ended""",Alex Graves,David Benioff & D. B. Weiss,"April 21, 2013",4.87,,
25,5,"""Kissed by Fire""",Alex Graves,Bryan Cogman,"April 28, 2013",5.35,,
26,6,"""The Climb""",Alik Sakharov,David Benioff & D. B. Weiss,"May 5, 2013",5.5,,
27,7,"""The Bear and the Maiden Fair""",Michelle MacLaren,George R. R. Martin,"May 12, 2013",4.84,,
28,8,"""Second Sons""",Michelle MacLaren,David Benioff & D. B. Weiss,"May 19, 2013",5.13,,
29,9,"""The Rains of Castamere""",David Nutter,David Benioff & D. B. Weiss,"June 2, 2013",5.22,,
30,10,"""Mhysa""",David Nutter,David Benioff & D. B. Weiss,"June 9, 2013",5.39,,
31,1,"""Two Swords""",D. B. Weiss,David Benioff & D. B. Weiss,"April 6, 2014",6.64,,
