Baratheon	Greyjoy	Lannister	Martell	Stark	Targaryen	Tyrell	episode	season	time
3	0	9	0	27	6	0	1	1	1
20	0	6	0	29	7	0	10	1	10
4	0	3	0	35	12	0	2	1	2
5	0	17	0	23	14	0	3	1	3
3	2	5	0	16	10	0	4	1	4
17	0	12	0	12	5	5	5	1	5
5	0	25	0	10	10	0	6	1	6
26	2	25	0	16	12	1	7	1	7
7	1	38	0	31	5	0	8	1	8
4	0	15	0	10	13	0	9	1	9
17	1	31	0	29	4	0	1	2	11
1	4	13	0	9	8	6	10	2	20
13	3	17	0	7	1	0	2	2	12
5	8	21	0	22	0	5	3	2	13
6	0	31	0	11	8	2	4	2	14
29	1	7	0	11	9	2	5	2	15
5	18	9	0	16	6	2	6	2	16
5	5	19	0	13	12	0	7	2	17
19	4	18	0	14	4	0	8	2	18
27	0	15	0	9	0	0	9	2	19
9	0	12	0	7	2	6	1	3	21
3	13	14	0	33	8	2	10	3	30
12	3	10	0	21	0	15	2	3	22
2	1	10	0	12	10	0	3	3	23
5	3	18	0	16	1	10	4	3	24
12	1	23	0	15	7	8	5	3	25
1	1	20	0	14	2	7	6	3	26
1	0	9	0	12	6	3	7	3	27
8	1	9	0	4	3	1	8	3	28
0	1	2	0	15	0	0	9	3	29
6	0	17	14	11	4	4	1	4	31
2	0	18	0	18	0	6	10	4	40
8	15	27	5	21	1	3	2	4	32
4	0	20	5	3	2	0	3	4	33
1	0	22	0	23	2	0	4	4	34
2	0	24	2	9	1	2	5	4	35
6	25	44	4	9	2	0	6	4	36
3	0	7	1	14	4	0	7	4	37
3	12	11	7	10	5	0	8	4	38
0	0	0	0	5	3	0	9	4	39
5	0	14	0	6	2	0	1	5	41
12	1	7	0	3	3	0	10	5	50
6	0	12	4	18	2	0	2	5	42
7	0	18	0	15	3	5	3	5	43
9	0	6	4	5	6	6	4	5	44
3	11	4	0	14	9	0	5	5	45
11	3	26	3	10	3	15	6	5	46
3	13	10	0	6	3	8	7	5	47
7	13	3	0	12	0	1	8	5	48
4	0	6	2	2	2	0	9	5	49
1	0	3	5	11	2	1	1	6	51
4	0	6	0	26	3	5	10	6	60
0	2	3	0	15	4	2	2	6	52
2	0	6	0	22	2	1	3	6	53
8	2	3	0	15	3	12	4	6	54
4	24	4	0	31	7	0	5	6	55
0	0	6	0	3	1	9	6	6	56
5	4	6	0	13	0	2	7	6	57
0	0	18	0	16	2	2	8	6	58
5	4	3	0	8	1	0	9	6	59
