baratheon	greyjoy	lannister	martell	stark	targaryen	tyrell	episode	season	time
robert:3	theon:1	jaime:1,joffrey:1,tyrion:3		benjen:2,eddard:3,ned:12,brandon:1,bran:4,arya:3,robb:2	khaleesi:1,viserys:1		1	1	1
stannis:2,robert:6,renly:2	theon:3	jaime:1,joffrey:4		benjen:1,eddard:1,ned:6,robb:3,lyanna:1,arya:1,rickon:1,bran:3	khaleesi:1,aerys:2,rhaegar:1		10	1	10
robert:4	theon:1	joffrey:2,tyrion:1		benjen:1,eddard:1,ned:13,arya:6,rickon:1,bran:6,jon snow:1	khaleesi:6,viserys:1,rhaegar:1		2	1	2
robert:3,renly:1	theon:1	lancel:2,tywin:2,cersei:1,jaime:2,joffrey:3,tyrion:3,myrcella:1		benjen:1,ned:17,brandon:1,catelyn:1,arya:3,bran:5	khaleesi:5,aerys:3,aemon:1		3	1	3
robert:3	theon:1,balon:1	joffrey:1,tyrion:1		eddard:1,robb:1,brandon:1,bran:4,catelyn:1,arya:1,ned:10,jon snow:1	viserys:1,aegon:2,khaleesi:3,aerys:2,rhaegar:1		4	1	4
stannis:2,robert:11,renly:1	theon:1	tommen:1,jaime:2,joffrey:1,cersei:1,tyrion:2		benjen:2,lyanna:1,ned:12,arya:3,bran:1	viserys:3	loras:4	5	1	5
robert:4	theon:2	tywin:4,jaime:5,joffrey:2,tyrion:3		benjen:1,ned:7,brandon:1,bran:5,catelyn:1,robb:2	viserys:1,khaleesi:3		6	1	6
stannis:5,robert:11,renly:2	balon:1,theon:6	tywin:1,tommen:1,cersei:1,jaime:5,joffrey:8,tyrion:1		benjen:1,ned:15,bran:2,catelyn:3,lyanna:1,eddard:3,jon snow:1	aegon:1,khaleesi:6	loras:1	7	1	7
stannis:1,robert:5,renly:1	theon:2	tywin:10,jaime:6,joffrey:9,cersei:1,tyrion:4		benjen:1,eddard:6,robb:6,catelyn:3,arya:3,ned:13	khaleesi:2,aemon:2		8	1	8
stannis:1,robert:2	theon:3	tywin:2,jaime:3,joffrey:4,cersei:2		ned:8,arya:1,robb:4,eddard:2	aegon:1,khaleesi:5,aemon:3,aerys:1		9	1	9
stannis:5,robert:2,renly:4	balon:1,theon:5	tommen:2,cersei:1,jaime:5,joffrey:8,tyrion:1,myrcella:2		benjen:1,eddard:1,ned:10,bran:1,arya:4,rickon:1,robb:6,jon snow:2	khaleesi:3,aerys:1		1	2	11
stannis:1	theon:5	tywin:3,jaime:2,joffrey:3,cersei:1		ned:8,arya:2,catelyn:2,jon snow:2	khaleesi:3	margaery:3,loras:2	10	2	20
stannis:4,robert:2	yara:1,theon:2,balon:2	jaime:3,joffrey:6,cersei:3,tyrion:2		ned:8,arya:1,robb:2	khaleesi:1		2	2	12
robert:3,renly:1	yara:2,theon:6	tywin:2,jaime:1,joffrey:6,myrcella:7,cersei:1		ned:6,robb:6,bran:4,catelyn:3,rickon:1,eddard:1		margaery:2,loras:3	3	2	13
stannis:1,renly:3	theon:1	lancel:1,tywin:3,cersei:6,jaime:3,joffrey:8,tyrion:1		ned:6,arya:2,robb:2,eddard:1	khaleesi:3	loras:1	4	2	14
stannis:12,robert:2,renly:6	balon:1,theon:4	lancel:2,tywin:1,jaime:1,joffrey:1,tyrion:1,myrcella:1		ned:11,bran:1,catelyn:1,robb:5	khaleesi:4,aerys:1	loras:2	5	2	15
stannis:2,renly:2	theon:8	tywin:3,jaime:3,joffrey:1,tyrion:1		ned:8,bran:3,catelyn:1,rickon:1,robb:5,jon snow:3	khaleesi:2	margaery:1,loras:1	6	2	16
stannis:1,robert:2	balon:1,theon:3	tommen:1,jaime:3,joffrey:4,myrcella:1,cersei:1		ned:13,rickon:1,robb:1,jon snow:2,eddard:1	aegon:1,khaleesi:4,aerys:1		7	2	17
stannis:7,robert:2,renly:2	theon:4	tywin:3,jaime:3,joffrey:5,cersei:1		ned:7,bran:2,arya:1,rickon:1,robb:4,jon snow:1	khaleesi:2		8	2	18
stannis:17,robert:1	theon:6	jaime:1,joffrey:8,lancel:1,tyrion:1		ned:3,robb:2			9	2	19
stannis:4,robert:1	theon:2	tywin:1,jaime:2,joffrey:4,tyrion:3		ned:5,arya:1,robb:1,jon snow:4	khaleesi:1	margaery:3,loras:3	1	3	21
stannis:3	balon:1,theon:6	tywin:2,cersei:1,joffrey:5,myrcella:1,tyrion:2		ned:9,rickon:1,bran:1,jon snow:1,robb:7	aegon:2,khaleesi:1,rhaegar:1,aemon:2	loras:1	10	3	30
stannis:1,robert:1,renly:7	yara:1,theon:2	tywin:1,joffrey:5		ned:9,brandon:1,catelyn:1,rickon:3,bran:4,jon snow:2		olenna:2,margaery:5,loras:4	2	3	22
renly:2	yara:1	tywin:3,jaime:4,joffrey:1		catelyn:1,ned:9,rickon:1,robb:5,bran:1	aegon:1,khaleesi:4,rhaegar:2		3	3	23
stannis:2,robert:3	yara:2,theon:3,balon:1	jaime:2,joffrey:6,tyrion:4		catelyn:1,ned:10,robb:2,bran:3,brandon:2	aegon:1	margaery:3,loras:1	4	3	24
stannis:3,robert:5,shireen:1,renly:2	theon:4	tywin:4,jaime:2,joffrey:5,cersei:1,tyrion:1		ned:13,arya:2,robb:1,jon snow:1	aegon:2,khaleesi:2,aerys:1	olenna:2,margaery:1,loras:4	5	3	25
stannis:1	theon:1	tywin:2,jaime:4,joffrey:5,cersei:2,tyrion:1		ned:3,robb:4,jon snow:4	aegon:2	margaery:2,loras:4	6	3	26
