	anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear
0	{}	{'god': 2, 'wood': 1, 'die': 1}	{'commanded': 1, 'king': 5, 'may': 1, 'many': 1, 'make': 1, 'son': 1, 'mother': 1, 'making': 1, 'man': 1, 'imagined': 1, 'marching': 1}	{}	{'commanded': 1, 'many': 1, 'men': 2, 'man': 1}	{}	{'what': 1, 'scare': 1, 'that': 3, 'sweetest': 1, 'grace': 1, 'won': 1, 'have': 2, 'grand': 1, 'original': 1, 'wind': 2}	{}	{'how': 1, 'hot': 1, 'holds': 1, 'hold': 1, 'assure': 1}	{'assure': 1}
1	{}	{}	{}	{}	{}	{}	{'that': 1}	{}	{}	{}
2	{}	{'dodging': 1, 'gods': 1, 'good': 1, 'god': 1}	{'king': 3, 'moment': 1}	{'home': 2}	{'moment': 1}	{}	{'hasn': 1, 'good': 1, 'glad': 1, 'have': 3, 'wind': 1, 'hand': 1}	{}	{'home': 2, 'choose': 1, 'those': 1}	{}
3	{'war': 1, 'fuck': 1}	{'war': 1}	{'make': 1}	{}	{'men': 1}	{'war': 1}	{'what': 1, 'won': 1, 'love': 1, 'like': 1, 'have': 5, 'that': 1}	{}	{'choice': 1, 'love': 1, 'fuck': 1, 'should': 1}	{'fuck': 1}
4	{'war': 2}	{'war': 2}	{'maester': 3, 'king': 1, 'may': 2, 'brought': 1, 'many': 2}	{}	{'many': 2, 'men': 1}	{'single': 1, 'war': 2}	{'what': 1, 'spoke': 1, 'grace': 3, 'nightshade': 1, 'that': 1, 'wisdom': 1, 'have': 1, 'grand': 1, 'careful': 1, 'halls': 2, 'wine': 1}	{'single': 1}	{'house': 1, 'however': 1, 'essence': 1}	{'dangerous': 1}
5	{'scrap': 1}	{}	{'smacked': 1, 'mom': 1, 'song': 1, 'many': 1, 'brother': 1, 'man': 1}	{}	{'boys': 2, 'many': 1, 'man': 1}	{}	{'poker': 1, 'thank': 1, 'hard': 1, 'won': 1, 'likes': 1, 'pretty': 1, 'halfway': 1, 'like': 1}	{'soul': 1}	{'ass': 1, 'how': 1}	{'ass': 1, 'scrap': 1}
6	{'fucking': 1, 'hated': 1, 'warm': 1, 'war': 1}	{'warm': 1, 'good': 1, 'war': 1, 'dead': 1, 'podrick': 1}	{'brown': 1, 'smaller': 1, 'king': 1, 'fucking': 1, 'company': 1, 'exactly': 1, 'expect': 1, 'drinking': 1}	{}	{'myself': 1, 'women': 3}	{'warm': 1, 'singing': 1, 'war': 1}	{'good': 1, 'love': 1, 'like': 2, 'have': 1, 'shall': 1, 'hated': 1, 'that': 2}	{'singing': 1}	{'fucking': 1, 'horror': 1, 'love': 1}	{'fucking': 1}
7	{'cut': 1}	{'good': 2, 'blood': 1, 'oddly': 1}	{'map': 1, 'many': 1, 'personally': 1}	{}	{'boy': 1, 'myself': 1, 'many': 1, 'personally': 1}	{'closer': 1}	{'what': 6, 'good': 2, 'look': 1, 'that': 2, 'asshai': 1, 'had': 1, 'shape': 1, 'have': 4, 'has': 1, 'hope': 1}	{}	{'how': 1, 'those': 1, 'though': 1, 'asshai': 1, 'trust': 4, 'birds': 1, 'hope': 1}	{'asshai': 1}
8	{}	{'wood': 2}	{'king': 1, 'pay': 1, 'brother': 1, 'unstoppable': 1, 'folks': 1, 'path': 1, 'man': 3, 'paved': 1}	{}	{'man': 3}	{}	{'enhances': 2, 'play': 2, 'won': 1, 'have': 1, 'that': 1, 'what': 1}	{}	{'chopped': 1, 'how': 1, 'who': 1, 'chopping': 1}	{}
9	{}	{'ladies': 1, 'return': 2, 'blood': 2}	{'king': 4, 'sister': 1, 'uncle': 1, 'romantic': 1, 'brother': 2, 'maegor': 1}	{}	{'lady': 2, 'ladies': 1, 'girls': 1, 'romantic': 1, 'yourself': 1}	{}	{'great': 1, 'has': 2, 'grace': 1, 'shae': 2}	{}	{'taste': 1, 'should': 1, 'thickest': 1, 'holdfast': 1}	{}
10	{'cut': 2}	{}	{'king': 5, 'make': 1, 'extremely': 1, 'quarterman': 1, 'except': 1}	{}	{'boys': 1, 'quarterman': 1, 'lady': 1}	{'worst': 1, 'amusing': 1}	{'what': 1, 'has': 2, 'like': 1, 'that': 4, 'had': 1, 'liked': 1, 'took': 1, 'won': 1, 'have': 1, 'half': 2, 'hand': 3, 'true': 1}	{'amusing': 1}	{'thought': 1, 'hound': 3, 'those': 1, 'without': 1}	{}
11	{'warning': 1, 'hates': 3}	{'warning': 1}	{'smash': 1, 'may': 1, 'maybe': 4, 'make': 1, 'paid': 1, 'maids': 1, 'small': 1, 'pale': 1}	{'groom': 1}	{'men': 1, 'lady': 1, 'child': 1}	{'warning': 1}	{'what': 1, 'wondering': 1, 'look': 1, 'that': 1, 'had': 1, 'than': 2, 'glad': 1, 'have': 5, 'hates': 3, 'grace': 1, 'hope': 1, 'wine': 1}	{}	{'horse': 1, 'thirsty': 1, 'maids': 1, 'should': 1, 'how': 1, 'those': 1, 'else': 1, 'hope': 1}	{}
