1	00:00:05,712	00:00:08,314	$<i>♪♫♪ theme music playing ♪♫♪</i>
2	00:01:37,969	00:01:48,624	$<font color=#ff0000>Sync & corrections by </font><font color=#ec14bd><b>honeybunny</b></font>$<font color=#ff0000>—=«O»=—</font>$<font color=#ff0000>www.addic7ed.com</font>
3	00:01:58,091	00:02:00,393	$My name
4	00:02:00,427	00:02:03,062	$is Grey Worm.
5	00:02:04,731	00:02:06,732	$I come from
6	00:02:06,767	00:02:09,819	$the Summer «Ills.»
7	00:02:09,853	00:02:11,604	$Isles.
8	00:02:11,655	00:02:14,740	$Summer Isles.
9	00:02:14,775	00:02:17,994	$Grey Worm:$<i>Summer Isles.</i>
10	00:02:19,696	00:02:21,747	$(speaking Valyrian)
11	00:02:25,252	00:02:28,287	$I am from an island$called Naath.
12	00:02:30,207	00:02:32,875	$When they took you?
13	00:02:32,877	00:02:36,095	$<i>«When</i> did<i> they take me?»</i>
14	00:02:39,049	00:02:41,384	$I was five years old.
15	00:02:41,386	00:02:43,552	$You remember your home?
16	00:02:44,888	00:02:47,857	$I remember when they$rowed us away from shore.
17	00:02:49,309	00:02:53,396	$How white the beaches were.
18	00:02:54,698	00:02:57,066	$How tall the trees.
19	00:02:59,286	00:03:03,239	$And I remember$my village burning.
20	00:03:03,290	00:03:06,792	$Smoke rising into the sky.
21	00:03:14,584	00:03:16,419	$Do you remember your home?
22	00:03:18,055	00:03:19,672	$Unsullied.
23	00:03:19,723	00:03:22,258	$Always Unsullied.
24	00:03:22,260	00:03:25,594	$Before Unsullied, nothing.
25	00:03:25,645	00:03:27,897	$That's not true.
26	00:03:29,850	00:03:32,601	$Perhaps one day you will$return to the Summer Isles.
27	00:03:32,603	00:03:34,437	$I don't want return.
28	00:03:34,439	00:03:37,523	$(speaking Valyrian)
29	00:03:39,743	00:03:41,277	$Kill the masters.
30	00:03:41,328	00:03:43,913	$Kill the masters.
31	00:03:45,782	00:03:47,450	$Daenerys:$<i>How are the lessons coming?</i>
32	00:03:47,452	00:03:50,419	$Very well, Your Grace.
33	00:03:50,454	00:03:53,839	$Missandei is teacher$good, my queen.
34	00:03:56,760	00:03:58,677	$You'll have to continue later.
35	00:04:00,597	00:04:02,631	$It's time.
36	00:04:35,799	00:04:38,167	$(grunting)
37	00:05:11,918	00:05:13,452	$_
38	00:05:13,957	00:05:16,203	$_
39	00:05:17,010	00:05:18,275	$_
40	00:05:18,395	00:05:19,696	$_
41	00:05:19,816	00:05:21,446	$_
42	00:05:22,387	00:05:24,124	$_
43	00:05:27,870	00:05:29,396	$_
44	00:05:31,432	00:05:34,199	$_
45	00:05:34,509	00:05:35,750	$_
46	00:05:35,870	00:05:37,973	$_
47	00:05:38,246	00:05:41,162	$_
48	00:05:41,282	00:05:44,163	$_
49	00:05:44,283	00:05:46,359	$_
50	00:05:46,479	00:05:50,030	$_
51	00:05:50,150	00:05:51,586	$_
52	00:05:54,830	00:05:56,630	$_
53	00:05:57,709	00:06:02,226	$_
54	00:06:03,579	00:06:04,572	$_
55	00:06:05,049	00:06:07,767	$_
56	00:06:08,152	00:06:12,110	$_
57	00:06:12,421	00:06:15,014	$_
58	00:06:15,572	00:06:17,818	$_
59	00:06:18,488	00:06:20,623	$_
60	00:06:21,187	00:06:23,495	$_
61	00:06:24,072	00:06:25,189	$_
62	00:06:26,125	00:06:29,228	$_
63	00:06:30,831	00:06:32,122	$_
64	00:06:32,242	00:06:33,772	$_
65	00:06:34,033	00:06:35,088	$_
66	00:06:52,220	00:06:56,705	$_
67	00:06:56,825	00:07:00,764	$_
68	00:07:01,189	00:07:03,673	$_
69	00:07:03,793	00:07:06,430	$_
70	00:07:18,828	00:07:21,914	$(speaks Valyrian)
71	00:07:23,833	00:07:25,968	$(speaks Valyrian)
72	00:07:39,099	00:07:41,016	$(gasps)
73	00:07:44,154	00:07:46,322	$(slaves shouting)
74	00:07:49,409	00:07:51,243	$(screaming)
75	00:07:51,277	00:07:54,997	$(slaves shouting)$Mhysa! Mhysa! Mhysa!
76	00:07:55,031	00:07:58,867	$Mhysa! Mhysa!$Mhysa! Mhysa!
77	00:07:58,918	00:08:01,370	$(shouting continues)
78	00:08:33,370	00:08:36,405	$(shouting continues)$Mhysa! Mhysa!
79	00:08:41,378	00:08:43,128	$Daenerys:$<i>Remind me, Ser Jorah,</i>
80	00:08:43,163	00:08:46,665	$<i>how many children did the Great$Masters nail to mileposts?</i>
81	00:08:46,716	00:08:50,002	$163, Khaleesi.
82	00:08:50,053	00:08:52,054	$Yes, that was it.
83	00:08:58,311	00:09:00,429	$(shouts in Valyrian)
84	00:09:00,480	00:09:03,348	$Barristan: — <i>Your Grace,$may I have a word?</i>
85	00:09:08,772	00:09:10,239	$The city is yours.
86	00:09:10,273	00:09:13,075	$<i>All these people,</i>$<i>they're your subjects now.</i>
87	00:09:14,277	00:09:16,779	$Sometimes it is better$to answer injustice
88	00:09:16,830	00:09:18,614	$with mercy.
89	00:09:18,665	00:09:22,785	$I will answer injustice$with justice.
90	00:09:28,458	00:09:31,460	$(screaming)
91	00:09:33,296	00:09:35,681	$(screaming)
92	00:09:47,193	00:09:49,728	$(screaming continues)
93	00:09:50,647	00:09:53,899	$<i>(screams echoing)</i>
94	00:10:13,086	00:10:15,804	$(panting)
95	00:10:38,361	00:10:40,329	$(grunts)
96	00:10:41,498	00:10:43,282	$What the hell was that?
97	00:10:43,333	00:10:46,785	$That was me knocking$your ass to the dirt
98	00:10:46,836	00:10:48,537	$with your own hand.
99	00:10:51,457	00:10:52,624	$You're a rare talent.
100	00:10:52,675	00:10:55,878	$When you're fighting$cripples, anyway.
101	00:10:57,347	00:10:59,431	$You learned to fight$like a good little boy.
102	00:10:59,465	00:11:02,518	$I'll bet that thrust through the Mad$King's back was pretty as a picture.
103	00:11:02,552	00:11:04,887	$<i>You want to fight pretty</i>$<i>or you want to win?</i>
104	00:11:04,938	00:11:06,722	$You talk to my brother this way?
105	00:11:06,773	00:11:08,307	$All the time.
106	00:11:08,358	00:11:10,692	$He got used to it.
107	00:11:18,117	00:11:20,569	$Do you think he did it?
108	00:11:20,620	00:11:22,704	$No.
109	00:11:22,739	00:11:25,240	$Oh, he hated$the little twat, sure.
110	00:11:25,242	00:11:27,242	$But who didn't?
111	00:11:28,244	00:11:30,295	$And poison's not his style.
112	00:11:31,247	00:11:33,749	$Or murder, for that matter.
113	00:11:35,084	00:11:37,469	$You want to know for sure,$why don't you ask him?
114	00:11:42,091	00:11:43,976	$You haven't been$to see him yet, eh?
115	00:11:45,094	00:11:46,929	$We're done for today.
116	00:11:46,980	00:11:50,098	$<i>(seagulls calling)</i>
117	00:11:50,100	00:11:52,100	$Your brother ever tell you$how I came into his service?
118	00:11:52,151	00:11:55,320	$You stood for him in his trial$by combat at the Eyrie.
119	00:11:55,355	00:11:57,489	$Aye.
120	00:11:57,523	00:11:59,524	$But only when$Lady Arryn demanded
121	00:11:59,576	00:12:02,194	$the trial take place that day.
122	00:12:02,245	00:12:04,363	$You were his first choice.
123	00:12:04,414	00:12:06,782	$He named you for his champion
124	00:12:06,833	00:12:10,452	$because he knew you would ride day$and night to come fight for him.
125	00:12:12,038	00:12:13,922	$You gonna fight for him now?
126	00:12:22,015	00:12:24,633	$To tell you the truth,$this isn't so bad.
127	00:12:24,635	00:12:27,719	$Four walls.$A pot to piss in.
128	00:12:27,770	00:12:30,522	$I was chained to a wooden post
129	00:12:30,556	00:12:33,141	$covered in my own$shit for months.
130	00:12:36,112	00:12:38,730	$Is that supposed$to make me feel better?
131	00:12:38,781	00:12:40,482	$Maybe a bit.
132	00:12:43,369	00:12:45,237	$I'm sorry I didn't come sooner.
133	00:12:45,288	00:12:48,123	$It's complicated, yes.
134	00:12:49,342	00:12:52,127	$— So how is our sister?$— How do you think?
135	00:12:52,161	00:12:54,746	$Her son died in her arms.
136	00:12:54,797	00:12:57,332	$Her son?
137	00:12:57,383	00:12:59,751	$Don't.
138	00:13:04,340	00:13:06,541	$You know what's coming?
139	00:13:06,576	00:13:09,378	$My trial for regicide.$Yes, I know.
140	00:13:10,747	00:13:14,449	$I know the whole bloody$country thinks I'm guilty.
141	00:13:14,484	00:13:16,652	$I know that one$of my three judges
142	00:13:16,686	00:13:18,904	$has wished me dead more$times than I can count.
143	00:13:18,938	00:13:21,440	$And that judge is my father.
144	00:13:22,608	00:13:24,026	$As for Cersei,
145	00:13:24,077	00:13:26,028	$well, she's probably$working on a way
146	00:13:26,112	00:13:28,914	$to avoid a trial altogether$by having me killed.
147	00:13:28,948	00:13:32,384	$Now that you mention it,$she did ask.
148	00:13:32,418	00:13:35,287	$So, should I turn around$and close my eyes?
149	00:13:35,371	00:13:37,472	$Depends.
150	00:13:37,507	00:13:39,691	$Did you do it?
151	00:13:39,726	00:13:41,476	$The Kingslayer brothers.
152	00:13:41,511	00:13:44,880	$You like it?$I like it.
153	00:13:46,632	00:13:49,384	$You're really asking$if I killed your son?
154	00:13:49,386	00:13:52,938	$Are you really asking$if I'd kill my brother?
155	00:13:56,659	00:13:58,377	$How can I help you?
156	00:13:59,479	00:14:00,946	$Well, you could set me free.
157	00:14:02,198	00:14:04,116	$You know I can't.
158	00:14:04,150	00:14:07,202	$Then there's really$nothing else to say.
159	00:14:07,236	00:14:09,571	$What do you want me to do?$Kill the guards?
160	00:14:09,655	00:14:11,073	$Sneak you out of the city$in the back of a cart?
161	00:14:11,124	00:14:13,075	$I'm the Lord Commander$of the Kingsguard.
162	00:14:13,077	00:14:14,876	$Sorry, I'd forgotten.
163	00:14:14,911	00:14:16,995	$I'd hate for you to do$something inappropriate.
164	00:14:17,046	00:14:18,497	$Inappropriate?
165	00:14:18,548	00:14:21,500	$You're accused of killing the king.$Freeing you is treason.
166	00:14:21,551	00:14:23,418	$Except I didn't do it.
167	00:14:23,469	00:14:25,470	$Which is why$we're having a trial.
168	00:14:25,505	00:14:27,806	$A trial.
169	00:14:27,840	00:14:30,592	$If the killer threw himself$before the Iron Throne,
170	00:14:30,594	00:14:34,930	$confessed to his crimes, and gave$irrefutable evidence of his guilt,
171	00:14:34,932	00:14:36,398	$<i>it wouldn't matter to Cersei.</i>
172	00:14:36,432	00:14:39,434	$She won't rest$until my head's on a spike.
173	00:14:39,436	00:14:41,603	$Not just yours.
174	00:14:41,605	00:14:44,990	$She's offering a knighthood$to whomever finds Sansa Stark.
175	00:14:45,024	00:14:46,608	$Sansa couldn't have done this.
176	00:14:46,659	00:14:49,444	$She had more reason than$anyone in the Seven Kingdoms.
177	00:14:49,446	00:14:51,947	$Do you think it's a coincidence she$disappeared the same night Joffrey died?
178	00:14:51,998	00:14:54,282	$No, but...
179	00:14:55,284	00:14:57,502	$Sansa's not a killer.
180	00:14:59,789	00:15:01,173	$Not yet, anyway.
181	00:15:01,207	00:15:04,760	$— <i> (wood creaking)</i>$— <i> (men shouting)</i>
182	00:15:07,463	00:15:09,965	$<i>(footsteps approaching)</i>
183	00:15:14,637	00:15:16,688	$Where are you taking me?
184	00:15:16,722	00:15:18,890	$I'm getting married$to your Aunt Lysa.
185	00:15:18,941	00:15:21,143	$She's waiting for us$at the Eyrie.
186	00:15:21,194	00:15:23,979	$You'll be safe there.
187	00:15:36,075	00:15:37,793	$Did you kill Joffrey?
188	00:15:37,827	00:15:40,996	$Did I kill Joffrey?
189	00:15:42,331	00:15:44,299	$I've been in the Vale for weeks.
190	00:15:44,333	00:15:45,500	$I know it was you.
191	00:15:45,502	00:15:49,471	$And who helped me$with this conspiracy?
192	00:15:51,557	00:15:53,341	$Well, there was Ser Dontos.
193	00:15:53,392	00:15:55,594	$You used him to get$me out of King's Landing,
194	00:15:55,645	00:15:58,230	$but you would never trust$him to kill the king.
195	00:15:58,347	00:16:01,900	$— Why not? — Because you're too smart$to trust a drunk.
196	00:16:01,934	00:16:04,486	$Then perhaps it was$your husband.
197	00:16:04,520	00:16:06,021	$No.
198	00:16:06,072	00:16:07,823	$<i>How do you know?</i>
199	00:16:07,857	00:16:10,492	$I just do.
200	00:16:10,526	00:16:12,661	$You're right.
201	00:16:12,695	00:16:15,163	$He wasn't involved$in Joffrey's death.
202	00:16:15,198	00:16:17,199	$But you were.
203	00:16:18,668	00:16:21,953	$<i>Do you remember that lovely</i>$<i>necklace Dontos gave you?</i>
204	00:16:22,004	00:16:26,174	$<i>I don't suppose you noticed</i>$<i>that a stone was missing</i>
205	00:16:26,209	00:16:28,460	$<i>after the feast.</i>
206	00:16:28,511	00:16:31,046	$The poison.
207	00:16:32,882	00:16:35,050	$I don't understand.
208	00:16:35,101	00:16:37,686	$The Lannisters gave you$wealth, power.
209	00:16:37,720	00:16:39,521	$Joffrey made you$the Lord of Harrenhal.
210	00:16:39,555	00:16:42,390	$A man with no motive$is a man no one suspects.
211	00:16:42,441	00:16:45,110	$<i>Always keep your foes confused.</i>
212	00:16:45,144	00:16:48,063	$If they don't know who$you are or what you want,
213	00:16:48,065	00:16:51,199	$they can't know$what you plan to do next.
214	00:16:54,153	00:16:56,121	$I don't believe you.
215	00:16:57,907	00:17:00,292	$<i>If they catch you, they'll$put your head on a spike</i>
216	00:17:00,326	00:17:01,710	$<i>just like my father's.</i>
217	00:17:01,744	00:17:04,913	$You'd risk that$just to confuse them?
218	00:17:06,549	00:17:10,085	$So many men,$they risk so little.
219	00:17:10,087	00:17:13,088	$They spend their lives$avoiding danger.
220	00:17:13,139	00:17:15,557	$And then they die.
221	00:17:16,842	00:17:20,645	$I'd risk everything$to get what I want.
222	00:17:20,680	00:17:23,815	$And what do you want?
223	00:17:29,772	00:17:31,356	$Everything.
224	00:17:33,192	00:17:36,528	$My friendship with the$Lannisters was productive.
225	00:17:36,579	00:17:39,281	$But Joffrey,
226	00:17:39,283	00:17:41,833	$a vicious boy with$a crown on his head,
227	00:17:41,867	00:17:44,119	$is not a reliable ally.
228	00:17:44,170	00:17:46,121	$And who could trust$a friend like that?
229	00:17:46,172	00:17:48,423	$Who could trust you?
230	00:17:49,675	00:17:51,960	$I don't want friends like me.
231	00:17:52,011	00:17:54,462	$My new friends are predictable.
232	00:17:54,513	00:17:56,014	$Very reasonable people.
233	00:17:56,048	00:17:58,767	$<i>As for what happened to Joffrey,</i>
234	00:17:58,801	00:18:03,104	$well, that was something my new$friends wanted very badly.
235	00:18:03,139	00:18:05,607	$<i>Nothing like a thoughtful gift</i>
236	00:18:05,641	00:18:08,226	$<i>to make a new friendship</i>$<i>grow strong.</i>
237	00:18:08,277	00:18:10,145	$I can't believe you're going.
238	00:18:10,196	00:18:12,814	$Leaving me alone here$with these people.
239	00:18:12,816	00:18:15,150	$<i>The time has come, my dear.</i>
240	00:18:15,201	00:18:18,236	$There's nothing$more tedious than a trial.
241	00:18:18,287	00:18:20,739	$Except perhaps these gardens.
242	00:18:20,790	00:18:23,491	$If I have to take one$more leisurely stroll
