-1	00:00:06,697	00:00:11,697	$﻿1$Game of Thrones - Season 5 Episode 04$"The Sons of the Harpy"
2	00:00:15,155	00:00:20,155	
3	00:00:23,658	00:00:28,658	
4	00:01:11,998	00:01:16,950	
6	00:03:12,294	00:03:13,794	$Is that Estermont?
7	00:03:14,669	00:03:16,059	$Tarth, Ser Jaime.
8	00:03:18,936	00:03:20,386	$The sapphire isle.
9	00:03:25,069	00:03:26,878	$Why are we on a merchant ship?
10	00:03:26,908	00:03:29,108	$Why not a Lannister sails?
11	00:03:31,544	00:03:33,291	$This ship sent to Old Town and
12	00:03:33,321	00:03:35,477	$we'll get off here not$far from Sunspear.
13	00:03:36,030	00:03:38,074	$Row ourselves to the$Dornish shores overnight.
14	00:03:40,050	00:03:41,800	$Have you ever been in Dorne?
15	00:03:41,880	00:03:43,323	$- No.$- I Have
16	00:03:43,693	00:03:45,293	$The Dornish are crazy.
17	00:03:45,329	00:03:47,032	$All they want to do is fight and fuck,
18	00:03:47,062	00:03:50,662	$- fuck and fight.$- You should be happy to go back there.
19	00:03:51,857	00:03:55,368	$There's nothing like a good fight$to get you in the mood for fucking.
20	00:03:55,398	00:03:57,690	$And there's nothing like$a fuck mad Dornish girl
21	00:03:57,720	00:04:00,128	$to clear your head for the next fight.
22	00:04:00,158	00:04:02,243	$It's how the two work together.
23	00:04:02,273	00:04:04,621	$Now we're gonna be doing a$lot of fighting I'm sure.
24	00:04:04,651	00:04:05,958	$Well I am.
25	00:04:05,988	00:04:08,997	$But I don't imagine we'll get$to stick around for the rest.
26	00:04:09,027	00:04:10,751	$Not after we've kidnapped$their princess.
27	00:04:10,781	00:04:12,819	$We're not kidnapping their princess,
28	00:04:12,849	00:04:16,199	$We're rescuing my niece,$bringing her back to her family.
29	00:04:16,408	00:04:17,458	$Your niece?
30	00:04:25,582	00:04:27,954	$I've been doing this sort$of thing a long time.
31	00:04:27,984	00:04:29,058	$I'm good at it.
32	00:04:29,088	00:04:31,073	$- That's why you're here$- I know.
33	00:04:31,103	00:04:32,190	$Why are you here?
34	00:04:32,220	00:04:33,756	$Why not send 40 mercenaries?
35	00:04:33,786	00:04:34,833	$...or an army?
36	00:04:34,863	00:04:37,006	$Unlike most folks,$you've actually got one.
37	00:04:37,036	00:04:39,536	$Because I do not$want to start a war.
38	00:04:40,709	00:04:44,059	$That still doesn't explain$what you're doing here.
39	00:04:46,136	00:04:47,386	$It has to be me.
40	00:04:50,667	00:04:52,967	$If I'm putting something$like this together.
41	00:04:53,108	00:04:54,358	$A one-handed man
42	00:04:54,388	00:04:57,635	$who happens to be one of the most$recognizable faces in Westeros
43	00:04:57,665	00:04:59,515	$- No...$- It has to be me.
44	00:05:05,187	00:05:08,237	$You set your brother$free, didn't you...
45	00:05:09,287	00:05:12,287	$I bet your sister didn't like that.
46	00:05:13,191	00:05:15,041	$Varys, set him free.
47	00:05:19,378	00:05:20,378	$Well...
48	00:05:22,246	00:05:24,494	$If you ever see that wee little fucker,
49	00:05:24,524	00:05:26,174	$give him my regards.
50	00:05:29,878	00:05:31,784	$He murdered my father.
51	00:05:34,902	00:05:37,603	$If I ever see him,$I'll split him in two.
52	00:05:39,014	00:05:41,164	$And then I'll give him your regards.
53	00:05:47,430	00:05:50,160	$The Iron Bank has called in 1/10th
54	00:05:50,190	00:05:51,890	$of the Crown debts.
55	00:05:52,156	00:05:54,505	$Given the expense of$rebuilding the royal
56	00:05:54,535	00:05:56,494	$- roof...$- How much can the Crown afford?
57	00:05:56,524	00:05:57,906	$With Winter coming...
58	00:05:57,936	00:06:00,036	$half what they ask.
59	00:06:00,350	00:06:01,288	$...maybe less.
60	00:06:01,318	00:06:04,191	$You're Master of coin.$How do we pay them?
61	00:06:04,221	00:06:06,971	$Well, House Tyrell$could front the money,
62	00:06:07,026	00:06:08,839	$The Crown would pay$us back in time
63	00:06:08,869	00:06:11,042	$or I'll have words$with my daughter.
64	00:06:16,980	00:06:19,380	$You have already$given us too much.
