frameNo	startTime	endTime	dialogue	chunk
1	00:01:39,899	00:01:50,524	"$<font color=""#ec14bd"">Sync & corrections by honeybunny$Resync by GoldenBeard$www.addic7ed.com</font>"	0
2	00:02:40,303	00:02:43,638	$Give him another go, Ned.	1
3	00:02:43,723	00:02:45,640	$That's my father.	1
4	00:02:45,775	00:02:47,975	$And my Uncle Benjen.	1
5	00:02:48,061	00:02:51,145	$Keep your shield up or I'll$ring your head like a bell.	1
6	00:02:59,489	00:03:01,656	$They were all so happy.	1
7	00:03:02,909	00:03:04,742	$So were you once.	1
8	00:03:09,883	00:03:13,301	$Stop showing off.	1
9	00:03:13,386	00:03:14,969	$Lyanna!	1
10	00:03:15,054	00:03:16,754	$My Aunt Lyanna.	1
11	00:03:16,839	00:03:19,257	$<i>I've seen her statue in the crypt.</i>	1
12	00:03:19,342	00:03:22,760	$My father never talked about her.	1
13	00:03:28,568	00:03:31,352	$<i>Would you get out of here?$We're sparring.</i>	1
14	00:03:31,437	00:03:35,606	$Who are you gonna spar with$when Ned goes off to the Eyrie?	1
15	00:03:35,692	00:03:36,774	$<i>I don't know.</i>	1
16	00:03:36,859	00:03:38,442	$What about him?	1
17	00:03:39,862	00:03:42,079	$Wylis, come here.	1
18	00:03:47,420	00:03:49,337	$Hodor?	1
19	00:03:49,422	00:03:51,422	$<i>But he's got giant's blood.</i>	1
20	00:03:51,541	00:03:55,042	$And you've got training. Sounds$like a fair match to me.	1
21	00:03:55,178	00:03:57,762	$Benjen always lifts his chin$when he's about to charge.	1
22	00:03:57,880	00:04:00,631	$And lowers it when he's$going to dodge, my lady.	2
23	00:04:00,717	00:04:02,800	$Hodor talks?	2
24	00:04:08,057	00:04:11,025	$You leave the fighting$to the little lords, Wylis.	2
25	00:04:11,110	00:04:13,561	$Come along, now.$It's no place for you.	2
26	00:04:13,696	00:04:16,197	$Oh, Nan, look at the size of him.	2
27	00:04:16,282	00:04:18,566	$If he ever learned to$fight, he'd be unstoppable.	2
28	00:04:18,651	00:04:21,652	$Well, he's never going to learn to$fight because he's a stable boy.	2
29	00:04:21,738	00:04:23,571	$So leave him be.	2
30	00:04:23,706	00:04:25,957	$It is time to go.	2
31	00:04:26,075	00:04:28,075	$Please, a little longer.	2
32	00:04:40,840	00:04:43,841	$You finally show me$something I care about	2
33	00:04:43,926	00:04:45,426	$and then you drag me away.	2
34	00:04:45,561	00:04:49,230	$It is beautiful beneath the sea,	2
35	00:04:49,315	00:04:51,599	$but if you stay too long,$you'll drown.	2
36	00:04:51,684	00:04:55,770	$I wasn't drowning.$I was home.	2
