anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	2	1	1	0	0	0	2
2	0	1	0	0	3	2	0	0	0	3
1	0	0	0	2	0	2	0	0	0	4
3	4	2	2	0	0	2	0	0	0	5
0	0	4	0	0	0	2	0	0	0	6
0	0	0	1	0	0	1	0	0	0	7
0	0	0	0	3	0	0	1	0	0	8
0	0	0	1	6	0	1	0	0	0	9
1	1	0	0	2	1	1	0	1	0	10
0	1	3	1	2	0	7	0	1	0	11
0	2	0	0	0	1	2	0	0	1	12
1	1	5	0	3	2	11	1	0	0	13
1	0	1	0	1	1	8	0	4	2	14
1	0	0	0	9	0	4	0	0	0	15
2	2	0	0	3	2	1	0	0	0	16
0	0	0	0	0	0	0	0	0	0	17
2	3	0	0	1	1	0	1	0	0	18
1	0	1	0	3	0	1	1	0	0	19
0	0	1	0	0	0	0	0	0	0	20
1	0	2	0	0	0	1	0	2	2	21
4	3	2	0	2	4	4	0	1	0	22
1	0	0	0	1	0	6	2	1	1	23
0	0	1	0	0	0	0	0	4	1	24
0	3	0	0	0	0	4	3	0	0	25
0	4	0	0	0	0	0	0	0	0	26
1	1	2	1	0	0	3	0	0	0	27
0	0	0	0	2	0	0	0	0	0	28
0	0	0	0	0	0	1	0	1	0	29
0	0	0	0	0	0	3	0	1	0	30
1	1	1	0	1	1	3	0	0	0	31
1	1	2	0	2	1	10	0	0	0	32
0	0	0	0	0	0	5	0	0	0	33
2	2	1	0	1	4	5	8	0	0	34
2	0	0	0	4	1	9	7	0	0	35
0	0	0	0	1	0	3	2	0	0	36
0	0	0	0	0	0	2	0	0	0	37
0	0	0	0	0	0	0	0	0	0	38
0	0	0	0	0	0	0	0	0	0	39
0	0	0	0	0	0	0	0	0	0	40
0	0	0	0	0	0	1	0	0	0	41
1	0	2	1	3	1	4	0	0	0	42
2	0	3	3	3	3	5	1	0	0	43
0	0	3	1	2	1	5	0	0	0	44
1	1	2	0	3	0	5	0	0	0	45
0	0	1	0	0	0	7	0	0	0	46
0	0	0	2	0	0	2	2	0	1	47
0	0	0	3	0	0	2	0	0	0	48
0	0	0	0	0	0	0	0	0	0	49
0	0	0	0	0	0	1	0	0	0	50
2	0	1	0	0	0	2	0	0	0	51
0	2	0	0	0	0	1	0	0	0	52
0	0	0	0	0	0	0	0	0	0	53
0	0	0	0	0	0	0	0	0	0	54
0	0	0	0	0	0	0	0	0	0	55
0	0	1	8	0	0	0	0	0	0	56
0	0	0	16	0	0	0	0	0	0	57
0	0	0	6	0	0	0	0	0	0	58
0	0	0	0	0	0	0	0	0	0	59
