anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
										0
		son:1		gentlemen:1		please:1				1
										2
										3
cut:1				woman:1,men:1,man:1		kind:1,like:1				4
	dead:1			men:1						5
hate:1,kill:1,shit:1,fucker:1	die:2,burial:1,kill:1			man:1	wrong:1,kill:1,shit:1	well:1		fucker:1	shit:1,fucker:1	6
fucking:1,bitches:1,punished:1		sons:1					lord:1,pious:1	fucking:1	fucking:1,bitches:1	7
		mother:2,wife:1,husband:1,son:1		woman:1,man:1		love:1,grace:1,calm:1	sacred:1	love:1		8
savages:1,disgust:1,disgusted:1		father:1,mother:1			savages:1,disgust:1,disgusted:1	love:2,loved:1,like:1,fine:1,wisdom:1	mercy:1	love:2,loved:1		9
		husband:1	bed:1	woman:1		great:1,good:1,true:1,grace:1,forgive:1				10
		grandmother:2		woman:2		safety:1,strong:1,true:1,friend:1	pray:1,soul:1,sinner:1			11
punished:1		grandmother:2,father:1,brother:1	house:1	men:1,man:1	lost:1	faith:2,good:1,hope:1,dear:1,please:1,free:1	faith:2,mercy:2,confess:1			12
		grandmother:1,husband:1,mother:1	home:2			dear:1,good:1,comfort:1	prayer:1			13
fight:2	dead:1	grandmother:1				agreed:1,blessings:1	pray:1,blessings:1			14
fight:1				children:1,women:1	lose:2	like:2,free:1				15
killed:1	killed:1,died:1				killed:1	free:2				16
										17
stupidity:1		grandson:1	houses:1			clever:1,like:1,sure:1				18
vile:1,fight:1		granddaughter:2,grandson:1,son:1	doorstep:1	person:1	worst:1,vile:1	love:2,certain:1,good:1,truth:1,truly:1		love:2		19
despise:1,kill:1,enemies:1	kill:1	brother:1,family:1,son:1	family:1	people:1	despise:1,kill:1,lost:1,enemies:1	joy:1,bright:1,support:1				20
					sad:1					21
fucking:1		wife:1			lost:1	better:1,certainly:1,like:1,beauty:1,promised:1	lordship:1	fucking:1,cock:1	fucking:1,cock:1	22
fight:1							lord:1			23
cut:2,fucking:1		niece:1		man:1		won:1,like:1		fucking:1	fucking:1	24
fucking:1,threats:1,threatened:1			house:1,bathed:1	men:1		good:1,friends:1	lord:1	fucking:1,ass:1	fucking:1,ass:1	25
fight:1			gates:1,bathed:1,home:1	man:1		liking:1,like:1				26
fighting:1	died:1	aunt:1,brother:1,mother:1		lady:2,boy:1	doubt:1	beauty:3,great:3,sure:1,kind:1,welcome:1	mormont:1			27
killed:1	killed:1	sister:1,uncle:1	house:2	men:1,lady:1,man:1	killed:1	honorable:1,great:1,support:1	mormont:1			28
war:1,fighting:1	war:1	brother:1		lady:4,men:1	war:1		sacrifice:1,mormont:1			29
war:2	war:2	son:1	house:4	lady:3	war:2,smuggler:1	great:1,please:1				30
fought:2,war:2	war:2,dead:2	uncle:2	houses:1	men:1,lady:1,man:1	war:2,lost:1	giving:1,courage:1,true:1,successor:1	mormont:2,lord:1			31
fighting:1,fight:1			house:2	lady:2,men:1,people:1		faith:2,won:1,thank:1	faith:2,mormont:1			32
fights:1,ferocious:1			house:1	lady:1,man:1	doomed:1	proud:1,strength:1	doomed:1			33
										34
kill:1	die:1,death:1,kill:1	nephew:1,niece:1	house:1		kill:1	won:1				35
war:2,attack:1,kill:1	war:2,die:1,kill:1		home:1	men:2	war:2,kill:1,lost:1	honor:2,ready:1,like:1	sacrifice:1			36
fight:1				person:1,men:1	disappointed:1,dull:1	well:1,treat:1	lord:1			37
fighting:1,fight:1		father:1	house:2,houses:2,home:1			respect:1,true:1,like:1,care:1	mormont:1			38
fight:1,attacked:1	death:1	father:1,brother:1,family:1	house:3,family:1		wept:1		lord:2			39
killed:2,brutalized:1	killed:2,dead:1	wife:1	house:2	children:1	killed:2,whore:1			whore:1		40
						love:1,like:1		love:1		41
threat:1	alive:1	uncle:1,brother:1			hurt:1	great:1,won:1,like:1,interest:1,joke:1,care:1		ass:1	ass:1	42
goddamn:1,fuck:1,shit:1,revenge:1			gates:1		revenge:1,shit:1	like:1		fuck:1	goddamn:1,fuck:1,shit:1	43
cut:1										44
fuck:1						good:1	mormonts:1	fuck:1,tits:1	fuck:1,tits:1	45
murdered:1,fuck:1,fighting:1,fight:1	murdered:1	brother:1		men:2	lost:1	trusted:1,secured:1,careful:1,friends:1,smart:1,hoped:1	lord:1	fuck:1	fuck:1	46
fuck:2,fighting:1								fuck:2	fuck:2	47
kill:1,murderer:1,fight:1	kill:1,murderer:1	son:1		woman:1	kill:1,screaming:1	superiors:1,good:1,brave:1,won:1,fine:1,friends:1,true:1				48
cut:1		mother:2,son:1		boy:1	shame:2,screaming:2,screamed:1	friends:1				49
killing:1	killing:1			people:3	killing:1	helping:1,save:1,friends:1,goodness:1	prayers:2			50
				people:2		well:2,welcome:1,safe:1,thank:1,sure:1				51
fight:2,fucking:1,kill:1	kill:1	brotherhood:1		women:1,people:1	kill:1	save:1,sure:1,well:1,friends:1,welcome:1		fucking:1	fucking:1	52
fuckers:1,fighting:1,lying:1,mad:1	dying:1			people:1,man:1	mad:1,lying:1	save:1		fuckers:1	fuckers:1	53
			home:1			care:2				54
				girl:1		sweet:1				55
										56
										57
										58
										59
