	S1E7.tsv	S1E1.tsv	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	S1E8.tsv	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	S1E5.tsv	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	S1E6.tsv	S4E7.tsv	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	S6E6.tsv	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	S5E4.tsv	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	S5E7.tsv	S4E9.tsv	S1E4.tsv	S1E9.tsv	S1E3.tsv	S2E6.tsv	S3E10.tsv	S2E5.tsv	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	S2E8.tsv	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	S3E6.tsv	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	S6E7.tsv	S5E9.tsv	'utf8' codec can't decode byte 0x81 in position 0: invalid start byte	S6E2.tsv	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words	empty vocabulary; perhaps the documents only contain stop words
000	3.0	1.0	6.0	0.0	3.0	6.0	3.0	4.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	2.0	2.0	5.0	2.0	6.0	1.0	1.0	4.0	6.0	0.0	1.0	0.0	1.0	2.0	0.0	3.0	2.0	0.0	0.0	3.0	0.0	7.0	6.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	5.0	2.0	2.0	0.0	3.0	3.0	0.0	2.0	0.0	4.0	2.0	0.0
00ff00	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
00ffff	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01x10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
06	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
08	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	0.0	4.0	3.0	0.0	0.0	3.0	3.0	2.0	0.0	0.0	1.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	3.0	3.0	4.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	1.0
100	0.0	1.0	0.0	0.0	1.0	5.0	1.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	3.0	1.0	1.0	2.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
