frameNo	startTime	endTime	dialogue
1	00:00:33,566	00:00:36,763	$<i>- Wow.</i>$<i>- Mmm.</i>
2	00:00:36,803	00:00:39,897	$<i>- Wow.</i>$<i>- Mm-hmm.</i>
3	00:00:39,939	00:00:42,066	$<i>- Wow.</i>$<i>- Yes, Marlin.</i>
4	00:00:42,108	00:00:44,201	$No, I see it.$It's beautiful.
5	00:00:44,244	00:00:46,769	$So, Coral, when you said$you wanted an ocean view...
6	00:00:46,813	00:00:50,977	$you didn't think you'd get$the whole ocean, did you?
7	00:00:51,017	00:00:55,818	$Oh, yeah.$A fish can breathe out here.
8	00:00:55,855	00:00:57,789	$Did your man deliver,$or did he deliver?
9	00:00:57,824	00:01:00,122	$- My man delivered.$- And it wasn't so easy.
10	00:01:00,160	00:01:03,459	$Because a lot of other clownfish$had their eyes on this place.
11	00:01:03,496	00:01:05,930	$You better believe they did...$every single one of them.
12	00:01:05,965	00:01:07,990	$Mm-hmm. You did good.
13	00:01:08,034	00:01:10,662	$And the neighborhood$is awesome.
14	00:01:20,680	00:01:22,341	$So, you do like it, don't you?
15	00:01:22,382	00:01:25,840	$No, no. I do, I do.$I really do like it.
16	00:01:25,885	00:01:28,820	$But, Marlin, I know that$the drop off is desirable...
17	00:01:28,855	00:01:31,119	$with the great schools$and the amazing view...
18	00:01:31,157	00:01:32,926	$but do we really need$so much space?
19	00:01:32,926	00:01:33,221	$But do we really need$so much space?
20	00:01:33,259	00:01:36,057	$Coral, honey, these are our kids$we're talking about.
21	00:01:36,096	00:01:38,257	$They deserve the best.$Look, look, look.
22	00:01:38,298	00:01:40,528	$They'll wake up,$poke their little heads out...
23	00:01:40,567	00:01:41,434	$and they see a whale!$Right by their bedroom window.
24	00:01:41,434	00:01:43,629	$And they see a whale!$Right by their bedroom window.
25	00:01:43,670	00:01:45,968	$Shh. You'll wake the kids.
26	00:01:46,005	00:01:47,802	$Oh, right, right.
27	00:01:51,544	00:01:56,311	$Aw, look. They're dreaming.
28	00:01:56,349	00:01:58,510	$We still have to name them.
29	00:01:58,551	00:02:00,314	$You want to name$all of them right now?
30	00:02:00,353	00:02:03,618	$All right, we'll name$this half Marlin Junior...
31	00:02:03,656	00:02:05,783	$and this half Coral Junior.
32	00:02:05,825	00:02:08,385	$- OK, we're done.$- I like Nemo.
33	00:02:08,428	00:02:11,192	$Nemo. We'll name one Nemo...
34	00:02:11,231	00:02:13,791	$but I'd like most of them$to be Marlin Junior.
35	00:02:13,833	00:02:15,198	$Just think,$in a couple of days...
36	00:02:15,235	00:02:18,727	$- we're going to be parents.$- Yeah.
37	00:02:18,771	00:02:20,398	$What if they don't like me?
38	00:02:20,440	00:02:21,964	$- Marlin.$- No, really.
39	00:02:22,008	00:02:26,968	$There's over 400 eggs.$Odds are, one will like you.
40	00:02:30,150	00:02:31,310	$What?
41	00:02:31,351	00:02:34,980	$- You remember how we met?$- I try not to.
42	00:02:35,021	00:02:36,488	$Well, I remember.$"Excuse me, miss...
43	00:02:36,523	00:02:38,991	$"can you check and see$if I have a hook in my lip?"
44	00:02:39,025	00:02:41,391	$You got a little closer$because it was wiggling.
45	00:02:41,427	00:02:44,555	$- Get away, get away!$- Here he is. Cutie's here.
46	00:02:46,432	00:02:48,525	$Where did everybody go?
47	00:02:55,308	00:02:57,401	$Coral, get inside the house.
48	00:02:58,945	00:03:01,345	$No, Coral, don't.$They'll be fine.
49	00:03:01,381	00:03:03,975	$Just get inside...$You, right now.
50	00:03:06,753	00:03:08,618	$No! Ow!
51	00:03:08,655	00:03:10,555	$Oh!
52	00:03:10,590	00:03:12,251	$Ooh! Ooh!
53	00:03:27,140	00:03:28,402	$Coral!
54	00:03:33,913	00:03:35,881	$Coral?
55	00:03:38,051	00:03:39,382	$Coral?
56	00:03:46,259	00:03:47,521	$Coral?
57	00:03:49,963	00:03:51,294	$Coral?
58	00:03:57,303	00:03:58,998	$Coral?
59	00:04:12,552	00:04:13,746	$Oh!
60	00:04:17,724	00:04:19,692	$Ohh.
61	00:04:21,728	00:04:23,559	$There, there, there.
62	00:04:23,596	00:04:26,087	$It's OK. Daddy's here.
63	00:04:27,333	00:04:28,994	$Daddy's got you.
64	00:04:31,838	00:04:36,366	$I promise, I will never$let anything happen to you...
65	00:04:36,409	00:04:38,172	$Nemo.
66	00:05:14,647	00:05:17,083	$First day of school!
67	00:05:17,083	00:05:19,881	$Wake up, wake up!$First day of school.
68	00:05:19,919	00:05:22,410	$I don't want to go to school...$five more minutes.
69	00:05:22,455	00:05:23,717	$Not you, Dad, me.
70	00:05:23,756	00:05:25,155	$- OK. Huh?$- Get up, get up.
71	00:05:25,191	00:05:27,887	$It's time for school,$time for school.
72	00:05:27,927	00:05:29,485	$All right, I'm up.
73	00:05:29,529	00:05:31,190	$Whoa!
74	00:05:31,230	00:05:32,959	$- Nemo!$- First day of school!
75	00:05:32,999	00:05:35,160	$- Nemo, don't move.$- Unh! Unh!
76	00:05:35,201	00:05:36,600	$You'll never get out$of there yourself.
77	00:05:36,636	00:05:38,797	$I'll do it. Unh!
78	00:05:38,838	00:05:40,806	$- You feel a break?$- No.
79	00:05:40,840	00:05:42,569	$Sometimes you can't tell$'cause fluid rushes to the area.
80	00:05:42,608	00:05:44,803	$- Are you woozy?$- No.
81	00:05:44,844	00:05:47,108	$- How many stripes do I have?$- I'm fine.
82	00:05:47,146	00:05:48,943	$- Answer the stripe question.$- Three.
83	00:05:48,981	00:05:50,448	$No! See?$Something's wrong with you.
84	00:05:50,483	00:05:53,281	$I have one, two, three...$That's all I have?
85	00:05:53,319	00:05:56,220	$You're OK.$How's the lucky fin?
86	00:05:56,255	00:05:59,053	$- Lucky.$- Let's see.
87	00:06:00,526	00:06:02,016	$Are you sure you want to go$to school this year?
88	00:06:02,061	00:06:04,962	$There's no problem if you don't.$You can wait 5 or 6 years.
89	00:06:04,997	00:06:06,862	$Come on, Dad,$it's time for school.
90	00:06:06,899	00:06:09,561	$- Forgot to brush.$- Ohh.
91	00:06:09,602	00:06:11,593	$Do you want this anemone$to sting you?
92	00:06:11,637	00:06:14,037	$- Yes.$- Brush.
93	00:06:14,073	00:06:15,734	$- OK, I'm done.$- You missed a spot.
94	00:06:15,775	00:06:16,075	$- Where?$- There.
95	00:06:16,075	00:06:17,736	$- Where?$- There.
96	00:06:17,777	00:06:20,746	$Ha ha! Right there.$And here and here.
97	00:06:29,522	00:06:29,722	$All right, we're excited.
98	00:06:29,722	00:06:30,882	$All right, we're excited.
99	00:06:30,923	00:06:32,686	$The first day of school.$Here we go.
100	00:06:32,725	00:06:34,693	$We're ready to learn$to get some knowledge.
101	00:06:34,727	00:06:37,127	$What's the one thing we have$to remember about the ocean?
102	00:06:37,163	00:06:39,597	$- It's not safe.$- That's my boy.
103	00:06:39,632	00:06:41,896	$First, we check to see$that the coast is clear.
104	00:06:41,934	00:06:44,334	$We go out... and back in.
105	00:06:44,370	00:06:46,668	$And then we go out...$and back in.
106	00:06:46,706	00:06:49,732	$And then one more time...$out and back in.
107	00:06:49,776	00:06:51,607	$And sometimes, if you want$to do it four times...
108	00:06:51,644	00:06:54,010	$- Dad...$- All right, come on, boy.
109	00:06:56,716	00:06:59,810	$Maybe while I'm at school,$I'll see a shark.
110	00:06:59,852	00:07:02,514	$- I highly doubt that.$- Have you ever met a shark?
111	00:07:02,555	00:07:04,216	$No, and I don't plan to.
112	00:07:04,257	00:07:07,454	$- How old are sea turtles?$- I don't know.
113	00:07:07,493	00:07:09,188	$Sandy Plankton$from next door...
114	00:07:09,228	00:07:12,131	$he says that sea turtles live$to be about 100 years old.
115	00:07:12,131	00:07:14,565	$He says that sea turtles live$to be about 100 years old.
116	00:07:14,600	00:07:16,864	$If I ever meet a sea turtle,$I'll ask him.
117	00:07:16,903	00:07:18,837	$After I'm done$talking to the shark, OK?
118	00:07:18,871	00:07:20,440	$Whoa! Hold on.$Wait to cross.
119	00:07:20,440	00:07:22,465	$Whoa! Hold on.$Wait to cross.
120	00:07:22,508	00:07:24,703	$Hold my fin.
121	00:07:24,744	00:07:26,075	$Dad, you're not$going to freak out...
122	00:07:26,112	00:07:28,103	$like you did at$the petting zoo, are you?
123	00:07:28,147	00:07:30,911	$That snail was about to charge.
124	00:07:30,950	00:07:33,384	$Hmm. I wonder where$we're supposed to go.
125	00:07:33,419	00:07:34,909	$Bye, Mom!
126	00:07:34,954	00:07:37,047	$I'll pick you up after school.
127	00:07:37,089	00:07:38,784	$Ha ha!
128	00:07:38,825	00:07:41,885	$Come on, you guys, stop it!$Give it back!
129	00:07:41,928	00:07:44,920	$Come on,$we'll try over there.
130	00:07:46,265	00:07:48,324	$Excuse me, is this where$we meet his teacher?
131	00:07:48,367	00:07:50,892	$Well, look who's out$of the anemone.
132	00:07:50,937	00:07:51,637	$Yes. Shocking, I know.
133	00:07:51,637	00:07:52,126	$Yes. Shocking, I know.
134	00:07:52,171	00:07:53,934	$- Marty, right?$- Marlin.
135	00:07:53,973	00:07:55,133	$- Bob.$- Ted.
136	00:07:55,174	00:07:57,165	$Bill.$Hey, you're a clownfish.
137	00:07:57,210	00:07:59,770	$You're funny, right?$Tell us a joke.
138	00:07:59,812	00:08:01,109	$- Yeah.$- Yeah.
139	00:08:01,147	00:08:04,048	$Well, actually,$that's a common misconception.
140	00:08:04,083	00:08:06,608	$Clownfish are no funnier$than any other fish.
141	00:08:06,652	00:08:08,643	$- Come on, clownie.$- Do something funny.
142	00:08:08,688	00:08:11,156	$All right, I know one joke.
