startTime	endTime	dialogue	slice
00:00:33,566	00:00:36,763	 Wow. Mmm.	0
00:00:36,803	00:00:39,897	 Wow. Mm-hmm.	0
00:00:39,939	00:00:42,066	 Wow. Yes, Marlin.	0
00:00:42,108	00:00:44,201	 No, I see it. It's beautiful.	0
00:00:44,244	00:00:46,769	 So, Coral, when you said you wanted an ocean view...	0
00:00:46,813	00:00:50,977	 you didnt think you'd get the whole ocean, did you?	0
00:00:51,017	00:00:55,818	 Oh, yeah. A fish can breathe out here.	0
00:00:55,855	00:00:57,789	 Did your man deliver, or did he deliver?	0
00:00:57,824	00:01:00,122	 My man delivered. And it wasn't so easy.	0
00:01:00,160	00:01:03,459	 Because a lot of other clownfish had their eyes on this place.	0
00:01:03,496	00:01:05,930	 You better believe they did... every single one of them.	0
00:01:05,965	00:01:07,990	 Mm-hmm. You did good.	0
00:01:08,034	00:01:10,662	 And the neighborhood is awesome.	0
00:01:20,680	00:01:22,341	 So, you do like it, dont you?	0
00:01:22,382	00:01:25,840	 No, no. I do, I do. I really do like it.	0
00:01:25,885	00:01:28,820	 But, Marlin, I know that the drop off is desirable...	0
00:01:28,855	00:01:31,119	 with the great schools and the amazing view...	0
00:01:31,157	00:01:32,926	 but do we really need so much space?	0
00:01:33,259	00:01:36,057	 Coral, honey, these are our kids we're talking about.	0
00:01:36,096	00:01:38,257	 They deserve the best. Look, look, look.	0
00:01:38,298	00:01:40,528	 They'll wake up, poke their little heads out...	1
00:01:40,567	00:01:41,434	 and they see a whale! Right by their bedroom window.	1
00:01:43,670	00:01:45,968	 Shh. You'll wake the kids.	1
00:01:46,005	00:01:47,802	 Oh, right, right.	1
00:01:51,544	00:01:56,311	 Aw, look. They're dreaming.	1
00:01:56,349	00:01:58,510	 We still have to name them.	1
00:01:58,551	00:02:00,314	 You want to name all of them right now?	1
00:02:00,353	00:02:03,618	 All right, we'll name this half Marlin Junior...	1
00:02:03,656	00:02:05,783	 and this half Coral Junior.	1
00:02:05,825	00:02:08,385	 OK, we're done. I like Nemo.	1
00:02:08,428	00:02:11,192	 Nemo. We'll name one Nemo...	1
00:02:11,231	00:02:13,791	 but I'd like most of them to be Marlin Junior.	1
00:02:13,833	00:02:15,198	 Just think, in a couple of days...	1
00:02:15,235	00:02:18,727	 we're going to be parents. Yeah.	1
00:02:18,771	00:02:20,398	 What if they dont like me?	1
00:02:20,440	00:02:21,964	 Marlin. No, really.	1
00:02:22,008	00:02:26,968	 There's over 400 eggs. Odds are, one will like you.	1
00:02:30,150	00:02:31,310	 What?	1
00:02:31,351	00:02:34,980	 You remember how we met? I try not to.	1
00:02:35,021	00:02:36,488	" Well, I remember. ""Excuse me, miss..."	1
00:02:36,523	00:02:38,991	" ""can you check and see if I have a hook in my lip?"""	1
00:02:39,025	00:02:41,391	 You got a little closer because it was wiggling.	1
00:02:41,427	00:02:44,555	 Get away, get away! Here he is. Cutie's here.	1
00:02:46,432	00:02:48,525	 Where did everybody go?	1
00:02:55,308	00:02:57,401	 Coral, get inside the house.	1
00:02:58,945	00:03:01,345	 No, Coral, dont. They'll be fine.	1
00:03:01,381	00:03:03,975	 Just get inside... You, right now.	1
00:03:06,753	00:03:08,618	 No! Ow!	1
00:03:08,655	00:03:10,555	 Oh!	1
00:03:10,590	00:03:12,251	 Ooh! Ooh!	1
00:03:27,140	00:03:28,402	 Coral!	2
00:03:33,913	00:03:35,881	 Coral?	2
00:04:12,552	00:04:13,746	 Oh!	2
00:04:17,724	00:04:19,692	 Ohh.	2
00:04:21,728	00:04:23,559	 There, there, there.	2
00:04:23,596	00:04:26,087	 It's OK. Daddy's here.	2
00:04:27,333	00:04:28,994	 Daddy's got you.	2
00:04:31,838	00:04:36,366	 I promise, I will never let anything happen to you...	2
00:04:36,409	00:04:38,172	 Nemo.	2
00:05:14,647	00:05:17,083	 First day of school!	3
00:05:17,083	00:05:19,881	 Wake up, wake up! First day of school.	3
00:05:19,919	00:05:22,410	 I dont want to go to school... five more minutes.	3
00:05:22,455	00:05:23,717	 Not you, Dad, me.	3
00:05:23,756	00:05:25,155	 OK. Huh? Get up, get up.	3
00:05:25,191	00:05:27,887	 It's time for school, time for school.	3
00:05:27,927	00:05:29,485	 All right, I'm up.	3
00:05:29,529	00:05:31,190	 Whoa!	3
00:05:31,230	00:05:32,959	 Nemo! First day of school!	3
00:05:32,999	00:05:35,160	 Nemo, dont move. Unh! Unh!	3
00:05:35,201	00:05:36,600	 You'll never get out of there yourself.	3
00:05:36,636	00:05:38,797	 I'll do it. Unh!	3
00:05:38,838	00:05:40,806	 You feel a break? No.	3
00:05:40,840	00:05:42,569	 Sometimes you cant tell 'cause fluid rushes to the area.	3
00:05:42,608	00:05:44,803	 Are you woozy? No.	3
00:05:44,844	00:05:47,108	 How many stripes do I have? I'm fine.	3
00:05:47,146	00:05:48,943	 Answer the stripe question. Three.	3
00:05:48,981	00:05:50,448	 No! See? Something's wrong with you.	3
00:05:50,483	00:05:53,281	 I have one, two, three... That's all I have?	3
00:05:53,319	00:05:56,220	 You're OK. How's the lucky fin?	3
00:05:56,255	00:05:59,053	 Lucky. Let's see.	3
00:06:00,526	00:06:02,016	 Are you sure you want to go to school this year?	3
