anger	death	family	home	humans	insight	negative	percept	positive	social	time
			neighborhood	kids man	believe know think		beautiful eyes honey look said see view	amazing awesome beautiful best better easy good great like wow	honey kids man neighborhood said talking their	0
		parents	bedroom house window	kids	remember think		look see	cutie fine like ok well	everybody excuse kids met name parents their	1
		daddy						ok promise	daddy	2
		dad			answer feel question	wrong	brush feel see	excited fine lucky ok sure	dad question tell	3
		dad mom	door	boy guys	know knowledge learn remember wonder	doubt shocking	look sandy says see	funnier funny joke like ok ready safe well	ask boy bye dad excuse give guys hey meet met mom says talking tell us	4
obnoxious		dad	bathyal beds yard	kids mr	explorers exploring feel knowledge think thoughts wonder	wrong	feel looks see	better funny like lucky nice play well	call dad hello hey kids mr name tell	5
		dad son	home	boy girls man	answer explorers find know means question remember	hurt worry		calm funny kind like ok pretty safe welcome well	boy bye dad girls group hey man name ourselves question son tell welcome	6
		dad parents		guys kids	explore feel know		cool feel look said sandy saw says see touch	fine free fun good lucky ok pretty safe well wow	called dad gather guys hey kids parents said says tell	7
hate interrupt		dad daddy		man sir	mean think	interrupt lost scared	hear listening looking said saying see sight touch touched	assure good ok ready safe sure	dad daddy excuse gather hear help interrupt listening man said saying sir	8
		dad daddy son		kids			seen white	please	anybody dad daddy help kids son	9
				sir	find	scared	look see seen white	ok thank	buddy hey hi sir told	10
		family son	family		believe find know mean memory think understand	loss wrong	look say see sounds	fun funny great joke kind like love ok parties party true trust well	family hello help hey hi love name parties party say son	11
					feeling seem think	difficult	feeling image look say stinkin	cute friend friends honor nice thanks	friend friends hello help hey mate meeting name say us	12
		daddy father son		boy human humans	find inspiration knew know mean think		looking says	funny glad good hug inspiration joke jokes love ok pretty well	anyone boy daddy everyone everything father group hello hi human humans love mate mates name says son talk talks tell us	13
grr		father		guys	find knew mean means remember wonder		look	friends funny good like ok well	father friends give guys help hey mate	14
		dad daddy		guy	found think		beauty grab	beauty heh nice ok party please ready	dad daddy guy hello mate party	15
