season	episode	anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear
1	1	bastard:7,kill:3,damn:3,fight:3,prick:2	dead:7,kill:3,died:2,die:2,bury:2	father:17,sister:10,brother:9,mother:5,family:4	home:6,house:5,family:4,door:2,bed:1	man:9,boy:6,lady:6,people:5,men:5	kill:3,savage:1,war:1,risk:1,wars:1	like:13,grace:9,true:7,won:7,well:7	lord:14,hell:2	love:4,fuck:2,loved:1,whore:1	bastard:7,damn:3,prick:2,fuck:2,hell:2
1	2	kill:8,war:5,bastard:1,cut:1,liar:1	kill:8,death:6,dead:6,war:5,die:4	father:13,son:9,brother:7,mother:5,sister:2	bed:3,house:3,home:1,window:1,clean:1	boy:19,lady:13,men:12,man:11,woman:5	kill:8,war:5,wrong:4,whore:3,worst:2	like:16,grace:9,please:7,good:7,better:6	lord:8,hells:1,morals:1,bless:1,hell:1	whore:3,tits:1,rape:1	hell:1,bastard:1,tits:1,cunt:1,piss:1
1	3	liar:8,bastard:5,kill:5,war:5,cut:2	kill:5,war:5,die:4,murder:2,dead:2	mother:10,brother:9,sister:6,son:5,daughter:4	home:5,family:3,house:3,families:1,room:1	boy:19,lady:15,men:10,man:8,child:7	liar:8,kill:5,war:5,hurt:3,lost:2	like:12,good:12,grace:7,please:5,honor:5	lord:12,pray:2,mercy:2,hells:1	love:4,tits:2,loved:1	bastard:5,damn:2,bitch:2,tits:2,bloody:1
1	4	kill:10,hate:5,fight:5,war:5,liar:4	kill:10,dead:8,die:7,war:5,alive:3	brother:11,father:10,sister:6,wife:4,son:3	room:3,door:2,beds:1,family:1,clean:1	man:17,boy:14,lady:12,men:11,boys:5	kill:10,war:5,liar:4,wrong:4,mad:4	like:23,good:11,well:9,better:7,grace:7	lord:30	love:2,fuck:2,asses:1,loves:1,fucks:1	bastard:2,fuck:2,fucks:1,asses:1,dumb:1
1	5	kill:5,bastard:5,fight:4,fought:3,piss:3	died:7,kill:5,death:4,die:3,murder:1	father:17,brother:13,mother:8,son:5,wife:4	room:5,house:3,home:3,yard:1,family:1	lady:13,boy:12,men:11,man:11,people:8	kill:5,hurt:5,whore:3,worse:3,wrong:3	like:24,well:15,good:10,great:7,please:6	lord:53,pray:3,hells:1,hell:1	love:5,whore:3,lover:2,ass:1,loved:1	bastard:5,bloody:3,piss:3,ass:1,damn:1
1	6	kill:9,war:6,fight:5,jealous:4,fought:4	kill:9,die:8,war:6,dead:3,dies:2	father:19,brother:11,family:9,son:8,wife:6	family:9,house:4,home:4,bed:3,room:1	man:25,boy:15,lady:9,men:8,child:7	kill:9,war:6,hurt:6,serious:6,wrong:4	good:20,like:13,well:11,friend:9,honor:8	lord:37,doom:1	love:6,whore:3,fuck:2,loves:2,ass:1	damn:3,bastard:2,fuck:2,bloody:2,ass:1
1	7	fight:5,cut:4,war:4,kill:3,attack:3	war:4,death:3,kill:3,dead:2,dying:1	father:8,wife:5,brother:5,sister:4,mother:4	house:6,homes:2,door:2,home:2,room:1	man:20,lady:12,men:6,boy:5,girl:5	war:4,enemy:3,hurt:3,kill:3,mad:2	like:15,honor:8,grace:7,well:7,please:5	lord:17,confess:3,hells:2,mercy:1,pray:1	love:4,fuck:2,whore:2,loved:1,naked:1	bloody:3,piss:3,prick:2,fuck:2,tits:1
1	8	kill:4,enemy:2,bastard:2,hated:2,fight:2	dead:6,death:5,die:5,kill:4,alive:3	brother:12,father:9,son:9,family:5,sister:4	house:11,family:5,home:5,clean:3,bed:2	man:16,men:15,boy:6,children:6,people:5	kill:4,worse:3,enemy:2,wrong:2,lose:2	honor:12,good:8,like:8,peace:6,well:6	lord:45,pray:1,mercy:1	love:5,cock:3,loved:2,ass:1,fuck:1	cock:3,bastard:2,bloody:2,ass:1,fuck:1
1	9	war:5,bastard:4,cut:4,stupid:4,lied:4	dead:10,die:8,war:5,death:4,kill:3	father:31,son:18,brother:10,sister:5,mother:3	house:4,room:2,family:2,bed:1,bath:1	men:17,man:13,boy:11,lady:8,girl:6	wrong:5,war:5,lied:4,kill:3,shit:3	grace:14,best:6,well:6,good:5,please:5	lord:44,mercy:6,confess:2,devil:1,faith:1	loved:2,love:2,ass:1,naked:1,asses:1	bastard:4,bloody:4,shit:3,ass:1,asses:1
1	10	kill:5,war:5,piss:4,bastard:3,fight:3	dead:8,death:6,kill:5,war:5,die:4	father:22,son:16,brother:12,mother:8,family:3	family:3,bed:3,house:2	man:24,men:14,boy:10,lady:9,woman:6	war:5,kill:5,lying:3,wrong:3,whore:3	good:11,well:11,honor:9,love:8,won:8	lord:24,mercy:2,confess:2,faith:1,hell:1	love:8,whore:3,loved:1,fuck:1,breast:1	piss:4,bastard:3,shit:2,fuck:1,bloody:1
2	1	war:9,bastard:5,kill:4,fight:4,fought:4	dead:10,war:9,death:4,kill:4,die:2	father:23,brother:14,family:6,son:6,sons:3	house:7,family:6,room:4,home:4,families:2	men:15,boy:12,man:12,people:9,girl:7	war:9,kill:4,shit:2,loss:2,weak:2	grace:24,like:18,well:16,truth:9,love:8	lord:30,mercy:1	love:8,loved:1,fuck:1,slut:1,incest:1	bastard:5,shit:2,arse:1,fuck:1,damn:1
2	2	kill:10,fuck:5,fight:4,war:4,shit:4	kill:10,dead:6,die:5,war:4,alive:3	father:14,sister:8,mother:7,brother:6,family:3	home:12,family:3,house:3,homes:1,door:1	man:21,men:11,girl:7,people:6,lady:6	kill:10,shit:4,war:4,savage:1,lost:1	like:17,good:13,love:11,well:10,won:7	lord:11,heaven:1,holy:1,souls:1,hell:1	love:11,fuck:5,ass:1,loved:1,kiss:1	fuck:5,shit:4,bastard:2,cunt:2,ass:1
2	3	war:6,fuck:5,liar:3,kill:3,fight:3	dead:6,war:6,death:4,died:4,die:3	father:21,brother:11,son:8,mother:7,sister:4	home:6,bed:2,house:2,room:1	men:25,man:23,boy:14,people:8,girl:7	war:6,liar:3,kill:3,sad:2,insult:2	like:14,good:12,well:11,true:10,friend:7	lord:31,pray:5,faith:3,spirit:2,belief:1	fuck:5,love:2,whore:2,cock:2,rape:2	fuck:5,bastard:2,damn:2,cock:2,piss:2
2	4	war:6,fight:5,fought:5,kill:3,bastard:3	die:6,war:6,dead:5,kill:3,death:2	father:13,brother:9,son:8,mother:5,sister:3	house:4,family:3,kitchen:3,room:2,bed:1	lady:18,boy:16,men:13,man:9,boys:3	war:6,kill:3,destroy:3,shit:2,whore:2	like:15,well:14,won:9,grace:9,good:8	lord:16,bless:3,pray:1,priest:1,faith:1	love:3,whore:2,loved:1,fuck:1,virgin:1	bastard:3,damn:2,bitch:2,shit:2,fuck:1
2	5	kill:2,idiot:2,fight:2,destroy:2,war:2	dead:6,die:3,alive:2,kill:2,war:2	brother:13,mother:8,sister:6,son:6,husband:6	family:5,garden:2,clean:2,pet:1,house:1	man:11,boy:8,girl:8,lady:7,men:6	kill:2,idiot:2,doubt:2,destroy:2,war:2	grace:20,please:18,good:16,well:8,like:7	lord:24,faith:4,mercy:2,pray:1,sins:1	loved:3,love:2,naked:1,fuck:1,loves:1	prick:1,fuck:1,cunt:1
2	6	kill:8,fight:6,shit:4,liar:3,war:3	kill:8,dead:5,die:4,death:3,war:3	brother:8,mother:7,son:6,sister:5,father:5	home:8,house:5,door:3,room:2,bed:2	men:23,man:17,girl:10,lady:7,people:6	kill:8,shit:4,liar:3,war:3,enemy:2	like:19,well:16,good:10,won:10,grace:9	lord:20,demon:3,bless:1,worship:1,holy:1	love:6,loved:1,raping:1,lust:1,incest:1	shit:4,piss:2,bloody:2,cock:1,bitch:1
