time	date	Ageing	Aids	Animal Welfare	Bird Flu	BSE	Coal Pits	EU	Countryside	Crime	Defence	Drug Abuse	Economy	Education	Farming	German Reunification	GM foods	Housing	Inflation/Prices	Inner Cities	Local Govt	Low Pay	Morality	NHS	Northern Ireland	Nuclear Power	Nuclear Weapons	Pensions	Fuel Prices	Environment	The Pound	Poverty/Inequality	Privatisation	Public Services	Immigration	Scots/Welsh Assembly	Taxation	Trade Unions	Transport	Tsunami	Unemployment
0	19740901	7.0	1.0	1.0				7.0	1.0	15.0	5.0	4.0	52.0	13.0				9.0	14		2.0	6.0	7.0	27.0			1.0	10.0	7.0	3.0	1	11.0	1.0	6.0	29.0	1.0	6.0		3.0		28
1	19741001	4.0	1.0	1.0				9.0	1.0	14.0	9.0	4.0	52.0	14.0				11.0	13		3.0	8.0	7.0	19.0			1.0	11.0	4.0	4.0	1	14.0	1.0	5.0	26.0	1.0	4.0		3.0		27
2	19771101	8.0		1.0				6.0	2.0	18.0	4.0	5.0	52.0	12.0				9.0	14		3.0	7.0	7.0	21.0			1.0	10.0	4.0	5.0	1	11.0	1.0	5.0	22.0	1.0	2.0		2.0		23
3	19780801	6.0		1.0				6.0	1.0	19.0	5.0	3.0	55.0	11.0				11.0	17		3.0	7.0	7.0	15.0			1.0	8.0	5.0	4.0	1	13.0	1.0	5.0	22.0	1.0	4.0		2.0		30
4	19790201	6.0		1.0				6.0	2.0	17.0	6.0	3.0	55.0	14.0				10.0	16		4.0	8.0	7.0	20.0				9.0	5.0	5.0	1	13.0	1.0	4.0	19.0	1.0	2.0		4.0		33
5	19790401	9.0		1.0				5.0	3.0	18.0	6.0	5.0	52.0	10.0	1.0			10.0	17		4.0	8.0	6.0	19.0			1.0	9.0	6.0	6.0	2	11.0	1.0	5.0	21.0	1.0	2.0	1.0	4.0		32
6	19800201	6.0		1.0				3.0	1.0	17.0	5.0	5.0	54.0	13.0	1.0			11.0	17		5.0	8.0	8.0	20.0				8.0	7.0	2.0	1	12.0	2.0	5.0	20.0	1.0	4.0		5.0		34
7	19800401	6.0						5.0	1.0	14.0	7.0	4.0	61.0	11.0				8.0	15		4.0	5.0	9.0	18.0			1.0	8.0	4.0	3.0	2	10.0	1.0	6.0	23.0	1.0	4.0		5.0		35
8	19820901	6.0		1.0				5.0	1.0	18.0	9.0	4.0	59.0	14.0				7.0	14		3.0	7.0	8.0	22.0			1.0	10.0	6.0	4.0	2	11.0	2.0	4.0	26.0	1.0	5.0	1.0	4.0		34
9	19821001	4.0	1.0					8.0	1.0	14.0	7.0	3.0	58.0	11.0				7.0	15		3.0	6.0	7.0	16.0				7.0	4.0	3.0	2	10.0	2.0	4.0	19.0	1.0	3.0	1.0	4.0		37
