time	anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear
0	0	0	0	0	2	0	1	0	2	0
1	1	3	2	0	3	2	6	0	4	0
2	0	1	0	0	1	0	3	0	1	0
3	0	0	0	0	0	0	0	0	0	0
4	0	0	1	0	0	0	0	0	0	0
5	0	1	3	0	6	1	7	0	3	1
6	3	4	5	2	1	3	5	0	3	0
7	2	1	3	0	2	2	6	0	4	1
8	0	3	2	0	1	0	5	0	3	0
9	3	2	4	0	0	1	5	0	5	1
10	0	5	5	0	2	0	12	0	5	0
11	0	3	6	0	4	0	9	0	5	0
12	0	0	2	0	0	1	5	0	1	0
13	1	1	0	0	0	0	8	1	2	1
14	2	2	7	0	2	0	16	0	7	1
15	1	3	15	1	4	2	20	1	3	0
16	0	1	2	0	2	2	6	1	5	0
17	0	3	2	0	2	0	4	1	1	0
18	2	2	6	0	1	1	10	0	9	0
19	1	0	9	4	4	1	17	0	11	1
20	1	3	4	3	2	1	11	0	4	0
21	2	1	6	1	3	1	6	1	1	1
22	2	1	11	1	2	2	15	2	5	1
23	0	1	10	2	7	0	16	4	6	2
24	1	3	10	0	1	2	9	1	2	1
25	1	1	0	0	2	1	5	0	0	0
26	0	2	7	0	1	0	9	0	3	1
27	0	0	1	0	0	0	3	0	1	0
28	0	1	1	0	0	0	7	0	1	0
29	2	0	3	0	1	1	2	0	2	1
30	2	2	15	2	2	1	14	0	5	1
31	0	0	0	0	1	0	1	0	1	0
32	0	0	3	0	0	0	12	0	9	5
33	0	3	9	0	4	0	16	0	4	1
34	0	4	8	0	6	1	12	1	5	0
35	0	3	5	2	4	1	16	0	8	1
36	1	3	3	0	3	0	13	0	0	0
37	1	1	4	0	2	1	17	0	6	0
38	0	1	4	0	0	0	6	0	0	0
39	2	1	3	0	2	2	6	0	3	0
40	0	4	4	0	1	0	8	0	2	0
41	3	6	6	1	2	2	13	0	4	2
42	2	3	9	2	7	4	28	0	10	0
43	0	0	2	1	0	0	1	0	5	0
44	3	5	15	0	2	3	13	0	3	0
45	1	3	5	1	6	2	14	0	2	2
46	0	1	0	0	1	0	5	1	0	0
47	0	1	5	0	3	1	8	0	5	0
48	1	1	4	1	4	1	8	0	1	0
49	2	3	6	0	3	2	11	0	2	1
50	0	1	9	0	5	0	18	0	5	0
51	0	0	0	0	0	0	2	0	0	0
52	2	0	7	0	4	3	12	1	4	0
53	0	1	2	0	6	0	5	0	4	0
54	0	0	1	0	0	0	6	0	1	1
55	1	0	9	1	9	1	24	2	2	1
56	0	1	3	2	8	0	15	0	2	0
57	0	1	0	0	1	0	0	0	0	0
58	0	2	4	1	5	0	22	0	8	0
59	0	0	2	0	1	0	2	0	1	0
60	1	6	8	2	3	1	19	0	3	1
61	2	1	17	1	8	2	18	0	6	0
62	2	2	19	1	4	1	21	2	8	0
63	3	2	18	2	9	1	13	0	12	2
64	3	6	5	1	2	4	17	1	5	0
65	2	1	7	0	4	0	9	0	6	0
66	4	1	3	0	2	2	18	3	6	1
67	0	3	7	0	3	2	12	0	9	0
68	0	2	6	0	7	3	12	2	4	0
69	1	1	5	0	4	2	8	1	5	0
70	0	2	8	0	7	0	14	0	2	0
71	2	2	12	0	3	0	20	1	2	0
72	5	4	9	1	7	3	21	1	5	1
73	2	2	2	0	4	0	5	0	5	2
74	0	4	8	0	3	1	15	1	6	0
75	4	3	6	1	1	4	14	1	4	1
76	1	1	2	0	3	0	10	0	5	0
77	0	2	5	0	2	2	18	0	1	0
78	0	1	5	0	2	0	14	0	4	0
79	1	3	12	0	2	1	30	0	3	0
80	1	2	4	0	1	1	17	0	4	0
81	0	2	6	0	5	0	10	0	4	0
82	1	1	9	0	6	1	10	0	9	0
83	0	2	5	1	1	0	6	0	0	0
84	0	2	7	0	7	0	14	0	3	0
85	1	4	1	1	1	1	2	0	0	0
86	0	2	7	1	5	0	15	2	6	1
87	0	0	2	0	0	0	2	0	0	0
88	4	6	6	0	5	5	20	1	6	1
89	0	2	14	1	5	1	21	0	6	1
90	3	3	5	0	2	1	12	2	8	3
91	6	8	2	0	1	5	5	0	0	1
92	1	0	6	0	3	1	7	1	3	0
93	1	4	7	0	8	1	22	0	6	2
94	0	1	4	1	1	3	11	0	8	0
95	2	3	12	0	8	3	22	1	6	1
96	2	2	16	0	5	4	19	3	10	1
97	0	3	9	0	6	1	20	1	3	1
98	0	3	10	0	7	1	20	1	9	0
99	3	2	5	0	0	2	9	1	4	1
100	0	2	4	0	2	3	11	2	5	1
101	1	0	3	1	1	1	20	1	11	0
102	2	1	9	0	3	3	20	1	2	0
103	1	3	6	0	1	0	17	0	4	0
104	0	0	2	1	2	0	5	0	4	0
105	1	0	10	0	7	2	14	0	4	0
106	0	1	5	1	2	1	20	0	4	0
107	1	3	5	0	7	1	11	0	5	0
108	2	3	5	0	10	3	21	0	10	4
