anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	time	season	episode
										0	1	1
				boy:1		easy:1				1	1	1
										2	1	1
savages:1,killed:1	dead:1,died:1,killed:1			children:2,man:1	savages:1,killed:1	like:2,good:1,won:1				3	1	1
	dead:1			men:1		won:1				4	1	1
										5	1	1
										6	1	1
										7	1	1
										8	1	1
		father:1,mother:1				beautiful:1,fine:1,well:1,thank:1,love:1		love:1		9	1	1
				lady:1		relax:1	lord:1			10	1	1
				boy:1,lady:1		won:1				11	1	1
		family:1	family:1	people:1		forgive:1	lord:1			12	1	1
	die:1	father:1	house:2	men:1		well:1	lord:2			13	1	1
kill:1,lying:1	kill:1			man:1	kill:1,lying:1	true:1				14	1	1
										15	1	1
	death:1,dead:1	father:2,mother:2	house:1	children:1		better:1,won:1,please:1	lord:1			16	1	1
	die:1,bury:1									17	1	1
		brother:1			worry:2					18	1	1
fucking:1	died:1	father:1,husband:1	gates:1		whores:1	like:1,honor:1		fucking:1,whores:1	fucking:1	19	1	1
				children:1		love:1,like:1,agree:1		love:1		20	1	1
	dead:1	sister:1,father:1		boy:1		good:1,like:1	lord:1			21	1	1
prick:2	dead:1	mother:1		girl:1,girls:1,man:1		better:1,good:1,likes:1,pretty:1			prick:2	22	1	1
		father:1		people:1		promise:2				23	1	1
		sister:1								24	1	1
										25	1	1
hell:1						grace:3	hell:1		hell:1	26	1	1
	crypt:1,dead:1	brother:1				surely:1,please:1,love:1,pretty:1		love:1		27	1	1
damn:1,fuck:1		brother:1		girls:1,man:1		loved:1,fine:1,like:1	lord:1	loved:1,fuck:1	damn:1,fuck:1	28	1	1
damn:2	grave:1	sister:1,daughter:1,son:1	houses:1		whore:1	honor:2,win:1,well:1		whore:1	damn:2	29	1	1
hates:1		brother:2,brothers:1		girl:1,girls:1,man:1		clever:2,true:1,pretty:1,handsome:1	lord:1	perversions:1		30	1	1
		sister:2,brother:1,family:1	door:2,family:1	girls:1,people:1	doubt:1,whorehouse:1	blessing:1	lord:1,blessing:1	whorehouse:1		31	1	1
kill:1	bury:1,kill:1	sister:1			kill:1	like:1,grace:1				32	1	1
				woman:1		won:1,friends:1,gracious:1				33	1	1
		sister:1		lady:1		perfect:1,sweet:1				34	1	1
		sister:1	house:2	men:1		honored:1				35	1	1
savage:1,killers:1,cut:1	killers:1,alive:1				shame:1,killers:1,savage:1	dear:1				36	1	1
offense:1		married:1,father:1		men:1,people:1,man:1		like:3,true:2,play:1,won:1,trust:1,grace:1				37	1	1
ugly:1,fuck:1		sister:1	home:4	men:1		sweet:1,like:1		fuck:1	fuck:1	38	1	1
stupidest:1		father:2,married:1	home:2	boys:1,man:1		please:3,handsome:1				39	1	1
bastard:2,insult:1	dead:1	uncle:1,father:1,family:1	family:1	lady:1	insult:1	ready:1,welcome:1,well:1			bastard:2	40	1	1
bastard:1		father:2,sons:1,families:1,family:1,uncle:1,brother:1	families:1,family:1			giving:1,better:1,care:1			bastard:1	41	1	1
bastard:4,offend:1,hell:1,bastards:1		father:2,mother:1		lady:1	hurt:1	like:1	lord:1,hell:1		bastard:4,hell:1,bastards:1	42	1	1
	slaughtered:1	uncle:1,brother:1		boy:2		true:1,good:1,friends:1,like:1				43	1	1
		daughter:1,grandchild:1			scared:1	grace:4,sure:1,talent:1,beauty:1,share:1,lovely:1,well:1				44	1	1
fight:3			neighbors:1	man:1		funny:1,sure:1,honored:1,beauty:1,well:1,favorite:1,accept:1,good:1,true:1,hope:1				45	1	1
		husband:1	bed:1	man:1		funny:1,won:1	lord:1			46	1	1
murdered:1,danger:1	murdered:1	sister:1		lady:1			lord:1			47	1	1
murdered:2,wars:1,fighting:1	murdered:2	father:1,brother:1,husband:1,son:1		people:1	wrong:1,risk:1,wars:1	certain:1,true:1,trusts:1	lord:2			48	1	1
										49	1	1
war:1,piss:1	war:1				war:1	favor:1,promised:1			piss:1	50	1	1
	deaths:1				dull:1	thank:1				51	1	1
		father:1				beautiful:1,good:1,thank:1,hope:1	mormont:1			52	1	1
						beautiful:1				53	1	1
						thank:2,happy:1				54	1	1
										55	1	1
						better:1,good:1,thank:1				56	1	1
fucking:1,kill:1	kill:1			boys:1	kill:1	loyal:2,friend:2,sure:1,well:1,hope:1		fucking:1	fucking:1	57	1	1
mad:1					mad:1					58	1	1
				boy:1		love:1		love:1		59	1	1
bastard:2	dead:1,slaughtered:1	daughter:1,brothers:1,son:1	houses:1	boy:1,children:1	hurt:1	clever:1,friends:1,pretty:1			bastard:2	0	1	2
murdered:1,danger:1	murdered:1,died:1	sister:2	home:2,house:1			love:1,original:1		love:1		1	1	2
										2	1	2
				child:1						3	1	2
murders:1	ghost:1,murders:1			people:1						4	1	2
						easier:1				5	1	2
punished:1						grace:2,won:1,interest:1,assured:1,comfort:1,well:1,comfortable:1	mormont:1			6	1	2
bitches:1		mother:2,uncle:1		lady:2,boy:1,women:1		better:1,good:1	lord:2		bitches:1	7	1	2
		brother:1				good:1,hope:1,beloved:1	lord:1,prayers:1			8	1	2
ridiculous:1,piss:1	die:1			boy:1,men:1,child:1	ridiculous:1,whores:1,lost:1	certain:1,charms:1	pray:1,mercy:1	whores:1	piss:1	9	1	2
	death:2	brother:2,family:1	clean:1,family:1	boy:2,children:1	disagree:1	dear:2,good:1,love:1,interested:1,hope:1		love:1		10	1	2
fighter:1			home:1	boy:1,men:1	lost:1	grace:1,beauty:1,care:1,please:1,forgive:1,handsome:1			bloody:1	11	1	2
battled:1	crypt:1	mother:1		boy:1,child:1	screamed:1	like:1,grateful:1	pray:1			12	1	2
				man:1		good:1				13	1	2
cut:1				men:1,man:1		grateful:1,good:1,thank:1,strong:1,like:1				14	1	2
						good:1,thrilling:1,thank:1,sure:1,cares:1				15	1	2
cut:1			door:1	man:1		won:1,like:1,carefully:1,careful:1,special:1,impressive:1				16	1	2
						careful:1,best:1				17	1	2
		uncle:1,brother:1				better:1				18	1	2
										19	1	2
		families:1,son:1	families:1	woman:1,men:1		honor:1				20	1	2
kill:1	die:1,kill:1				kill:1					21	1	2
		mother:1				kind:1,good:1				22	1	2
	alive:1	mother:2				great:1,promise:1,honor:1,care:1				23	1	2
			beds:1			warm:1				24	1	2
bastard:1,wars:1,fight:1	bury:1	mother:1		girl:1,women:1	wars:1	great:1,honor:1,like:1,thank:1	lord:1	tits:2	tits:2,bastard:1	25	1	2
war:1	war:1	father:1,family:1	home:1,family:1	child:2,man:1	worst:2,war:1	trust:1,good:1,bold:1				26	1	2
threat:1,kill:1,war:1,fighting:1	kill:1,war:1	sister:1		boy:1,woman:1,men:1	kill:1,war:1	loved:1		loved:1		27	1	2
										28	1	2
rapers:1		brothers:1,family:1	family:1		doubt:1	impressed:1,lovely:1		rapers:1		29	1	2
killed:2,trick:1	killed:2,die:1	brother:2,nephew:1,sister:1,married:1,father:1	house:1		killed:2	honor:1,agree:1				30	1	2
bastard:2		brother:1,brothers:1		boy:2		nicely:1,well:1,like:1,smart:1			bastard:2	31	1	2
				lady:1		better:1				32	1	2
dangerous:1	die:1	mother:1	room:1	lady:2	wrong:1	care:2,good:1	lord:2			33	1	2
	dead:1		windows:1			please:1	mercy:1			34	1	2
										35	1	2
kill:1	kill:1	wife:1		men:1	kill:1	brave:1				36	1	2
		brother:1,mother:1	house:1	men:2,man:1		happy:3,pleasure:1,like:1				37	1	2
						welcome:1				38	1	2
										39	1	2
war:3,murder:2,kill:1,battle:1,weapon:1,killer:1	war:3,murder:2,killer:1,kill:1	brother:1	home:1	boy:1,child:1,lady:1,man:1	war:3,weapon:1,killer:1,kill:1	easily:1,sure:1,truth:1,innocent:1,fine:1,loyalty:1	lord:1			40	1	2
dangerous:1		mother:1		woman:1		party:1,attracts:1,trust:1	prayed:1			41	1	2
				man:1		love:1		love:1		42	1	2
bitch:1,enemies:1				men:2,woman:1,man:1	enemies:1	like:4,interesting:1,well:1			bitch:1	43	1	2
						good:1,love:1,like:1		love:1		44	1	2
										45	1	2
										46	1	2
offended:1				girl:1	shake:1					47	1	2
damn:1,mad:1	executioner:1			lady:3	upset:1,mad:1,scaring:1	sweet:1,won:1,well:1,like:1			damn:1	48	1	2
		sister:1,father:1		boy:3	worry:1	safe:1,friend:1	lord:1			49	1	2
bitch:1,cunt:1		sister:1		boy:2,lady:1	hurt:1	good:1,won:1	lord:2		bitch:1,cunt:1	50	1	2
						please:1				51	1	2
kill:1	kill:1				kill:1					52	1	2
attacked:1		daughter:1,son:1		girl:2,boy:1,woman:1	hurt:1		lord:2			53	1	2
liar:1,attacked:1		daughter:1	bed:1	boy:1,child:1	hurting:1,liar:1	true:2,darling:1	hells:1			54	1	2
liar:7,damn:1,punished:1,fight:1		daughter:1,son:1		girl:1,children:1	liar:7	gladly:1,great:1,grace:1			damn:1	55	1	2
damned:1,savaged:1		son:1	pet:1	lady:5	savaged:1	please:2,grace:2,happier:1,good:1			damned:1	56	1	2
trick:1			rooms:1	girls:1		better:1,grace:1,honor:1				57	1	2
				boy:1						58	1	2
										59	1	2
kill:2,rapers:1	kill:2	brothers:1,family:1	family:1		kill:2	impressed:1,great:1,welcome:1,comfort:1,comfortable:1,honor:1,interest:1,lovely:1,grace:1		rapers:1		0	1	3
				lady:2,boy:1		good:1,grace:1	lord:1			1	1	3
										2	1	3
						welcome:1,honor:1,grand:1	lord:1			3	1	3
				girls:1		like:1,glad:1,thank:1	lord:1	asses:1	asses:1	4	1	3
shits:1	die:2,crypt:1	father:1,brother:1	room:2	men:2,people:1	shits:1	like:2,great:1,wisely:1,brave:1,handsome:1	lord:1		shits:1	5	1	3
mad:3	die:1	father:2			mad:3,screams:1	laughing:2,admire:1,safe:1,well:1,like:1				6	1	3
fighting:1	grievously:1	brother:1,son:1		man:2,woman:1,lady:1	shame:1,wrong:1,doubt:1	well:3,sure:1,agree:1,hoped:1	lord:5,praying:1,prayer:1			7	1	3
		brother:2		man:1		champion:1,grace:1,cares:1,grand:1,honor:1,winning:1	lord:2,lords:1			8	1	3
						wise:1,treasury:1,pleasure:1,forgive:1,best:1,grace:1	lord:3,lords:1			9	1	3
fight:1,ugly:1,fought:1,rebel:1,killed:1	killed:1	father:4		girl:1,girls:1	scream:1,killed:1	like:3,beautiful:1,love:1,truth:1,true:1,please:1		love:1		10	1	3
fuck:2,rebel:1				men:3,boy:1,girl:1	whores:2	better:1,darling:1,kindness:1,loyal:1,nice:1	lord:1	whores:2,fuck:2,virgins:1	fuck:2	11	1	3
enemies:2,enemy:1,liar:1,destroy:1,kill:1,killed:1,fight:1	kill:1,killed:1	uncle:1,brothers:1		lady:1	enemies:2,enemy:1,liar:1,destroy:1,kill:1,killed:1	save:2,loyal:1,strength:1,agree:1,friend:1,good:1	lord:1			12	1	3
idiot:1,liar:1,killed:1	killed:1,alive:1		room:1	lady:1	idiot:1,liar:1,killed:1	like:2,love:1,friend:1,truth:1,played:1		love:1		13	1	3
war:1	war:1	daughters:1	door:1		war:1	easier:1				14	1	3
fighting:1		sister:1		ladies:1,lady:1,girl:1		sweet:1,play:1,playing:1,hoping:1				15	1	3
hate:2,liar:2,kill:1	kill:1	married:1		boy:1	liar:2,kill:1,wrong:1	darling:1,well:1,like:1,truly:1				16	1	3
dangerous:1,hate:1,war:1,fight:1	war:1	sister:2			war:1	better:1,won:1				17	1	3
hated:1,hate:1,liars:1	die:1			boy:1,children:1,child:1	scary:1,liars:1	favorites:3,sweet:1	lord:1			18	1	3
smothered:1	death:1,dead:1			babies:1,women:1	wept:1,smothered:1	like:1,freeze:1	lord:1			19	1	3
	dead:2					true:1				20	1	3
				lady:4	wrong:1	welcome:1				21	1	3
				lady:2,people:1	lost:1	dear:1,blessing:1,friend:1,truly:1	lord:1,blessing:1			22	1	3
				man:1	lost:1	well:2,like:1				23	1	3
bastard:1	dead:1			boys:1		likes:1,like:1	lord:1		bastard:1	24	1	3
		son:1	clean:1	person:1,men:1,man:1	useless:1	charming:2,good:1,well:1	lord:2,mormont:1			25	1	3
		wife:2		man:2		funny:2,safest:1,good:1,share:1,like:1				26	1	3
bastard:1,tempers:1				man:1		interesting:1,improvement:1,care:1			bastard:1	27	1	3
hate:1		sister:2,father:2				better:1,lucky:1,like:1	lord:2			28	1	3
stupid:1,kill:1	kill:1,alive:1	brother:3,wife:1		boy:2,man:1	kill:1	like:1,won:1,calm:1,truth:1,promised:1,trust:1,true:1,friend:1,thanks:1	lord:1			29	1	3
war:2,lying:1,kill:1,cunt:1	war:2,kill:1	father:1,husband:1		boy:2,child:1,people:1	war:2,kill:1,lying:1	won:1,like:1			cunt:1,bloody:1	30	1	3
dangerous:2,temper:2,enemies:1,killed:1	killed:1			girls:1,man:1	killed:1,enemies:1	good:1,hope:1,loves:1		loves:1		31	1	3
										32	1	3
battle:1,dumb:1,rebellion:1				boy:1	dumb:1	strong:1,grace:1,lucky:1		breastplate:1	dumb:1	33	1	3
stupid:2,battle:1,shit:1,piss:1		sons:1,wife:1		boy:1,boys:1	shit:1	like:1,smart:1			shit:1,piss:1	34	1	3
		cousin:1			empty:3,smug:1	pride:1,grace:1,satisfied:1				35	1	3
cut:1,fighter:1,fucks:1,killed:1,kill:1,mad:1,shits:1,war:1	kill:1,war:1,killed:1	son:1,brotherhood:1	door:1	men:1	shits:1,kill:1,mad:1,killed:1,war:1	glorified:1,good:1,like:1,best:1		fucks:1	shits:1,fucks:1	36	1	3
						grace:1				37	1	3
fight:2,ugly:1,insulted:1				men:1,women:1	weak:1,insulted:1	good:1,like:1,easy:1				38	1	3
savages:1	dead:1				sluts:1,savages:1		lord:1	sluts:1		39	1	3
kill:1	kill:1	brother:1			kill:1,hurt:1	please:2,respect:1	mormont:1			40	1	3
										41	1	3
										42	1	3
										43	1	3
				man:1	disturbing:1	better:2,kind:2,ready:1,won:1				44	1	3
				girls:1		glory:2,better:1,eager:1,joking:1	lord:1			45	1	3
	die:2			boys:1,men:1		enjoy:1,funny:1,good:1,like:1,joke:1,peace:1,enjoying:1,comfort:1,hope:1	lords:1			46	1	3
offend:1,kill:1	kill:1	brother:1			kill:1	great:2,admiration:2,giving:1,sure:1,like:1				47	1	3
		brother:1				enjoy:1,well:1,warm:1,share:1,like:1	lord:1			48	1	3
weapon:1				man:2	weapon:1	good:2,easier:1				49	1	3
	alive:1			man:3		great:1,won:1,true:1,honor:1,advantage:1				50	1	3
				baby:1,boys:1		true:1				51	1	3
					worry:1	easy:1	lord:1			52	1	3
lies:1,kill:1	kill:1	sister:1		boys:1,men:1,man:1	lies:1,kill:1					53	1	3
						ready:1				54	1	3
		brother:1	beds:1			better:1,rich:1,care:1	lord:1			55	1	3
				boy:2	wrong:1	strong:1				56	1	3
battle:1				boy:2,girl:2		good:1,delicate:1				57	1	3
	die:1			men:1,child:1						58	1	3
	dead:3									59	1	3
savages:1		brother:1		baby:1,man:1	sluts:1,savages:1	likes:1,won:1,true:1,honor:1,like:1	lord:2	sluts:1		0	1	4
enemies:2,destroy:1,enemy:1,kill:1,dangerous:1	kill:1	brother:1			enemies:2,enemy:1,kill:1,destroy:1	good:1,save:1,strength:1,agree:1	mormont:1			1	1	4
bastards:1						original:1			bastards:1	2	1	4
										3	1	4
mad:1					mad:1		lord:2			4	1	4
		father:1		boy:2,man:2		welcome:2,warmer:1,kind:1,true:1,charming:1	lord:2			5	1	4
trick:1,bastards:1		father:1,brother:1		boy:2	lost:1,hurt:1	like:2,tender:1,kind:1,kindness:1,well:1	lord:1		bastards:1	6	1	4
	alive:1	father:1,uncles:1,son:1	bed:1	lady:3		like:2,kind:1,pretty:1,easier:1,well:1,loyalty:1,prettier:1		ass:1	ass:1	7	1	4
battle:1,enemy:1,stupid:1,rebellion:1,offended:1	died:1	father:2,brothers:1		people:1	shame:1,despair:1,disappointment:1,enemy:1	great:1,careful:1,forgive:1,good:1				8	1	4
hell:1					worse:1	well:1,please:1	hells:1,hell:1		hell:1	9	1	4
bastard:2				lady:2		love:2,sure:1,like:1	lord:1	love:2	bastard:2,bloody:1	10	1	4
fought:1,piss:1,fight:1		father:1,mother:1	clean:1		worse:1,hurt:1	good:1,well:1,easier:1,thank:1			piss:1	11	1	4
stupid:2				people:1					bloody:1	12	1	4
savages:2,shit:1		brother:1		people:2	savages:2,wrong:1,shit:1	like:1,best:1			shit:1	13	1	4
battle:1,fought:1		wife:1		men:2,man:1		dear:1,grace:1				14	1	4
kill:1,killed:1	kill:1,killed:1			men:3	kill:1,killed:1	brave:3,warm:1,like:1				15	1	4
kill:1	kill:1		house:1	man:1	kill:1,hurt:1	happy:2,pleasure:1,well:1,like:1				16	1	4
	died:1	father:1	door:1,room:1	men:1,man:1	wrong:1	sweet:1				17	1	4
					dread:1					18	1	4
idiot:1		sister:2			sad:2,idiot:1	better:1,lover:1,grace:1,pretty:1,happy:1		lover:1		19	1	4
hate:2		son:1,brother:1,husband:1,mother:1		girls:4,boys:1,girl:1,children:1	worry:1	good:1,well:1	lords:1			20	1	4
mad:2,killed:2,murdered:1,cruel:1	killed:2,murdered:1	father:3,uncle:1,grandfather:1			killed:2,mad:2	assure:1,won:1,please:1,forgive:1	lords:1			21	1	4
		sisters:1	household:1	men:1,people:1	dreadful:1,whores:1,lowly:1,woes:1	peace:2,great:1,good:1,champion:1,glory:1,better:1,sure:1,thank:1	lord:4	whores:1		22	1	4
envy:1	death:1				sadness:1	great:1,like:1,grand:1,save:1,care:1,hoping:1	lord:3,lords:1			23	1	4
