Baratheon	Greyjoy	Greyjoy~	Lannister	Lannister~	Martell	Stark	Targaryen	Tyrell	episode	season	time
3	0	0	9	9	0	26	6	0	1	1	1
20	0	0	7	7	0	14	7	0	10	1	10
4	0	0	5	5	0	32	12	0	2	1	2
5	0	0	19	18	0	20	14	0	3	1	3
3	2	2	7	7	0	12	10	0	4	1	4
17	0	0	17	17	0	12	5	5	5	1	5
5	0	0	26	24	0	11	10	0	6	1	6
26	2	2	31	30	0	17	12	1	7	1	7
7	1	1	40	39	0	25	5	0	8	1	8
4	0	0	16	15	0	7	13	0	9	1	9
17	1	1	31	25	0	21	4	0	1	2	11
1	4	4	17	13	0	5	8	6	10	2	20
13	3	3	20	20	0	7	1	0	2	2	12
5	8	8	22	21	0	17	0	5	3	2	13
6	0	0	32	31	0	8	5	2	4	2	14
29	1	1	10	10	0	8	6	2	5	2	15
5	18	18	9	9	0	11	4	2	6	2	16
5	5	5	21	15	0	10	9	0	7	2	17
19	4	4	21	16	0	12	3	0	8	2	18
27	0	0	15	15	0	2	0	0	9	2	19
9	0	0	14	13	0	4	2	6	1	3	21
3	13	9	15	15	0	13	8	2	10	3	30
12	3	3	12	9	0	9	0	15	2	3	22
2	1	1	11	10	0	11	10	0	3	3	23
5	3	3	21	20	0	12	1	10	4	3	24
12	1	1	26	20	0	6	7	8	5	3	25
1	1	1	22	21	0	5	2	7	6	3	26
1	0	0	13	12	0	4	5	3	7	3	27
8	1	1	11	11	0	1	2	1	8	3	28
0	1	1	3	3	0	14	0	0	9	3	29
6	0	0	21	20	14	5	4	4	1	4	31
2	0	0	18	18	0	14	0	6	10	4	40
8	15	6	28	26	5	14	1	3	2	4	32
4	0	0	23	23	5	0	2	0	3	4	33
1	0	0	23	21	0	18	2	0	4	4	34
2	0	0	27	27	2	6	0	2	5	4	35
6	25	11	48	47	4	2	2	0	6	4	36
3	0	0	10	10	1	8	4	0	7	4	37
3	12	5	13	13	6	6	5	0	8	4	38
0	0	0	0	0	0	0	3	0	9	4	39
5	0	0	16	15	0	3	1	0	1	5	41
12	1	0	7	7	0	3	2	0	10	5	50
6	0	0	14	14	4	2	2	0	2	5	42
7	0	0	23	23	0	9	2	5	3	5	43
9	0	0	8	8	4	4	6	6	4	5	44
3	11	2	4	4	0	4	8	0	5	5	45
11	3	1	28	27	3	3	3	15	6	5	46
3	13	8	12	12	0	2	3	8	7	5	47
7	13	8	8	8	0	9	0	1	8	5	48
4	0	0	7	6	2	0	2	0	9	5	49
1	0	0	4	4	5	0	2	1	1	6	51
4	0	0	9	8	0	12	2	5	10	6	60
0	2	2	4	4	0	13	4	2	2	6	52
2	0	0	9	9	0	18	2	1	3	6	53
8	2	2	6	6	0	8	2	12	4	6	54
4	24	24	4	4	0	27	5	0	5	6	55
0	0	0	7	7	0	3	1	9	6	6	56
5	4	4	6	4	0	9	0	2	7	6	57
0	0	0	19	16	0	7	1	2	8	6	58
5	4	4	3	3	0	3	1	0	9	6	59
